identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
27726,23625,12662
27726,23687,12587
27726,23655,12667
27726,23677,12594
27726,23688,12577
27726,23783,12597
27726,23704,12519
27726,23706,12563
27726,23748,12602
27726,23680,12556
27726,23641,12560
27726,23573,12583
27726,23616,12598
27726,23656,12695
27726,23723,12642
27726,23663,12670
27726,23621,12513
27726,23655,12519
27726,23719,12720
27726,23691,12529
27726,23730,12629
27726,23723,12600
27726,23710,12650
27726,23751,12613
27726,23581,12629
27726,23600,12589
27726,23700,12599
27726,23733,12678
27726,23666,12567
27726,23691,12603
27726,23659,12693
27726,23674,12679
27726,23673,12642
27726,23711,12717
27726,23730,12662
27726,23701,12659
27726,23680,12795
27726,23740,12619
27726,23727,12727
27726,23651,12714
27726,23640,12703
27726,23625,12602
27726,23694,12635
27726,23681,12595
27726,23725,12695
27726,23728,12646
27726,23747,12622
27726,23622,12668
27726,23642,12640
27726,23609,12600
27726,23630,12652
27726,23731,12588
27726,23692,12616
27726,23529,12689
27726,23632,12644
27726,23674,12642
27726,23740,12651
27726,23635,12569
27726,23760,12673
27726,23767,12545
27726,23644,12766
27726,23547,12585
27726,23647,12599
27726,23638,12528
27726,23680,12723
27726,23633,12691
27726,23634,12674
27726,23712,12578
27726,23703,12498
27726,23619,12583
27726,23661,12645
27726,23684,12666
27726,23681,12616
27726,23749,12654
27726,23678,12548
27726,23563,12666
27726,23620,12574
27726,23792,12641
27726,23714,12678
27726,23715,12561
27726,23712,12690
27726,23733,12591
27726,23701,12553
27726,23672,12581
27726,23730,12625
27726,23621,12623
27726,23757,12585
27726,23667,12685
27726,23622,12676
27726,23623,12593
27726,23739,12580
27726,23697,12631
27726,23719,12631
27726,23817,12488
27726,23709,12499
27726,23636,12479
27726,23660,12628
27726,23613,12720
27726,23605,12693
27726,23626,12556
27726,23682,12616
27726,23651,12459
27726,23592,12730
27726,23661,12729
27726,23651,12725
27726,23599,12643
27726,23597,12619
27726,23617,12702
27726,23717,12564
27726,23641,12638
27726,23790,12663
27726,23636,12522
27726,23734,12729
27726,23788,12674
27726,23708,12517
27726,23555,12568
27726,23661,12662
27726,23647,12550
27726,23627,12512
27726,23610,12698
27726,23696,12547
27726,23677,12743
27726,23650,12665
27726,23607,12617
27726,23716,12613
27726,23789,12689
27726,23753,12578
27726,23718,12727
27726,23632,12599
27726,23528,12465
27726,23711,12538
27726,23689,12771
27726,23588,12497
27726,23698,12547
27726,23683,12706
27726,23663,12577
27726,23717,12560
27726,23660,12674
27726,23712,12595
27726,23521,12691
27726,23801,12655
27726,23721,12596
27726,23738,12528
27726,23682,12630
27726,23583,12742
27726,23726,12533
27726,23668,12683
27726,23628,12602
27726,23621,12593
27726,23689,12536
27726,23691,12631
27726,23609,12492
27726,23632,12571
27726,23603,12407
27726,23806,12462
27726,23677,12650
27726,23774,12563
27726,23707,12575
27726,23751,12757
27726,23839,12781
27726,23620,12650
27726,23758,12672
27726,23666,12505
27726,23685,12631
27726,23685,12666
27726,23729,12649
27726,23730,12628
27726,23684,12619
27726,23612,12571
27726,23676,12633
27726,23712,12581
27726,23708,12567
27726,23659,12635
27726,23574,12524
27726,23716,12540
27726,23634,12637
27726,23717,12631
27726,23650,12631
27726,23689,12702
27726,23716,12558
27726,23640,12503
27726,23773,12648
27726,23623,12645
27726,23730,12593
27726,23627,12706
27726,23644,12690
27726,23662,12729
27726,23727,12535
27726,23682,12640
27726,23641,12586
27726,23531,12595
27726,23687,12684
27726,23722,12673
27726,23653,12829
27726,23729,12789
27726,23627,12678
27726,23714,12631
27726,23663,12507
27726,23668,12591
27726,23662,12631
27726,23725,12564
27726,23648,12622
27726,23689,12580
27726,23654,12595
27726,23663,12651
27726,23717,12594
27726,23619,12621
27726,23528,12629
27726,23735,12684
27726,23646,12544
27726,23780,12537
27726,23629,12616
27726,23662,12576
27726,23703,12567
27726,23725,12701
27726,23761,12679
27726,23641,12544
27726,23606,12572
27726,23864,12703
27726,23677,12562
27726,23681,12652
27726,23683,12696
27726,23690,12628
27726,23636,12681
27726,23712,12460
27726,23686,12796
27726,23630,12594
27726,23601,12677
27726,23721,12729
27726,23638,12520
27726,23671,12663
27726,23601,12631
27726,23727,12547
27726,23669,12586
27726,23675,12657
27726,23814,12575
27726,23778,12602
27726,23658,12540
27726,23630,12680
27726,23734,12701
27726,23724,12664
27726,23747,12572
27726,23610,12634
27726,23757,12747
27726,23683,12583
27726,23640,12570
27726,23730,12586
27726,23614,12569
27726,23701,12540
27726,23652,12552
27726,23721,12502
27726,23735,12601
27726,23661,12655
27726,23616,12681
27726,23734,12649
27726,23750,12568
27726,23718,12526
27726,23693,12696
27726,23705,12576
27726,23716,12564
27726,23672,12615
27726,23665,12530
27726,23741,12583
27726,23699,12708
27726,23677,12672
27726,23691,12603
27726,23656,12480
27726,23588,12549
27726,23644,12553
27726,23704,12680
27726,23847,12653
27726,23764,12757
27726,23744,12561
27726,23657,12619
27726,23831,12598
27726,23724,12604
27726,23658,12733
27726,23723,12546
27726,23699,12642
27726,23674,12661
27726,23595,12691
27726,23682,12636
27726,23795,12613
27726,23656,12685
27726,23705,12682
27726,23617,12633
27726,23698,12639
27726,23652,12446
27726,23611,12586
27726,23630,12549
27726,23519,12582
27726,23744,12819
27726,23700,12554
27726,23698,12643
27726,23693,12592
27726,23708,12555
27726,23674,12594
27726,23834,12559
27726,23729,12535
27726,23752,12580
27726,23687,12574
27726,23742,12554
27726,23695,12574
27726,23618,12654
27726,23691,12679
27726,23634,12610
27726,23657,12532
27726,23739,12772
27726,23706,12712
27726,23677,12644
27726,23667,12635
27726,23735,12592
27726,23684,12569
27726,23622,12639
27726,23625,12538
27726,23777,12672
27726,23750,12493
27726,23778,12739
27726,23658,12652
27726,23631,12649
27726,23619,12535
27726,23765,12597
27726,23659,12600
27726,23627,12686
27726,23633,12521
27726,23631,12559
27726,23584,12674
27726,23730,12638
27726,23777,12595
27726,23667,12729
27726,23713,12623
27726,23652,12658
27726,23726,12633
27726,23615,12590
27726,23628,12486
27726,23695,12547
27726,23733,12554
27726,23626,12676
27726,23739,12690
27726,23618,12583
27726,23666,12572
27726,23719,12662
27726,23609,12655
27726,23540,12539
27726,23663,12597
27726,23617,12600
27726,23628,12695
27726,23707,12527
27726,23714,12601
27726,23646,12513
27726,23773,12693
27726,23718,12600
27726,23577,12613
27726,23563,12684
27726,23675,12579
27726,23611,12789
27726,23513,12675
27726,23664,12671
27726,23719,12598
27726,23698,12575
27726,23747,12575
27726,23672,12549
27726,23592,12669
27726,23663,12590
27726,23633,12646
27726,23697,12663
27726,23707,12645
27726,23638,12547
27726,23711,12592
27726,23576,12747
27726,23775,12623
27726,23675,12759
27726,23770,12581
27726,23695,12459
27726,23672,12586
27726,23712,12667
27726,23683,12492
27726,23711,12596
27726,23689,12609
27726,23669,12628
27726,23731,12703
27726,23638,12596
27726,23638,12692
27726,23589,12609
27726,23653,12494
27726,23624,12657
27726,23644,12543
27726,23688,12666
27726,23719,12646
27726,23777,12660
27726,23633,12641
27726,23689,12602
27726,23647,12466
27726,23668,12595
27726,23631,12626
