identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
1752,1421,811
1752,1406,845
1752,1468,798
1752,1438,800
1752,1478,827
1752,1483,798
1752,1457,821
1752,1465,830
1752,1452,812
1752,1455,782
1752,1446,815
1752,1465,834
1752,1416,822
1752,1447,790
1752,1460,832
1752,1449,836
1752,1438,793
1752,1424,830
1752,1468,825
1752,1457,818
1752,1453,800
1752,1442,814
1752,1459,819
1752,1453,787
1752,1452,796
1752,1438,832
1752,1458,827
1752,1459,837
1752,1440,820
1752,1461,808
1752,1446,835
1752,1474,800
1752,1469,827
1752,1456,832
1752,1445,833
1752,1458,790
1752,1459,825
1752,1454,795
1752,1455,812
1752,1443,844
1752,1458,823
1752,1459,805
1752,1433,800
1752,1442,838
1752,1459,821
1752,1442,809
1752,1470,824
1752,1436,829
1752,1453,817
1752,1446,830
1752,1474,822
1752,1454,822
1752,1449,827
1752,1443,830
1752,1461,820
1752,1461,802
1752,1426,857
1752,1459,806
1752,1438,835
1752,1453,845
1752,1440,792
1752,1460,828
1752,1472,838
1752,1449,828
1752,1449,789
1752,1461,827
1752,1433,812
1752,1467,796
1752,1450,837
1752,1443,800
1752,1452,838
1752,1433,815
1752,1466,820
1752,1434,802
1752,1446,833
1752,1441,796
1752,1450,810
1752,1432,810
1752,1471,833
1752,1458,839
1752,1457,807
1752,1468,815
1752,1442,809
1752,1464,829
1752,1453,821
1752,1443,807
1752,1468,818
1752,1449,821
1752,1478,853
1752,1436,831
1752,1460,825
1752,1468,816
1752,1470,830
1752,1458,834
1752,1453,812
1752,1454,815
1752,1461,817
1752,1467,824
1752,1476,788
1752,1452,811
1752,1482,815
1752,1469,834
1752,1451,811
1752,1466,824
1752,1460,820
1752,1447,798
1752,1468,815
1752,1490,818
1752,1442,820
1752,1457,807
1752,1434,815
1752,1473,804
1752,1440,818
1752,1440,801
1752,1467,824
1752,1454,799
1752,1489,791
1752,1448,830
1752,1430,843
1752,1448,842
1752,1474,838
1752,1459,827
1752,1433,827
1752,1456,796
1752,1447,842
1752,1445,830
1752,1463,850
1752,1436,809
1752,1461,827
1752,1468,793
1752,1443,836
1752,1490,813
1752,1461,834
1752,1457,824
1752,1436,812
1752,1447,819
1752,1460,828
1752,1447,802
1752,1418,805
1752,1454,807
1752,1442,822
1752,1451,812
1752,1473,816
1752,1451,857
1752,1442,834
1752,1453,813
1752,1494,839
1752,1473,792
1752,1455,802
1752,1470,842
1752,1486,846
1752,1473,790
1752,1459,809
1752,1451,821
1752,1450,829
1752,1440,803
1752,1492,790
1752,1448,805
1752,1470,806
1752,1463,814
1752,1447,811
1752,1480,840
1752,1444,812
1752,1459,829
1752,1468,803
1752,1439,787
1752,1452,808
1752,1473,843
1752,1472,830
1752,1449,828
1752,1456,806
1752,1444,831
1752,1448,813
1752,1445,802
1752,1451,791
1752,1441,808
1752,1430,804
1752,1484,816
1752,1473,816
1752,1472,808
1752,1445,808
1752,1465,796
1752,1430,812
1752,1475,819
1752,1436,839
1752,1434,806
1752,1441,829
1752,1463,800
1752,1454,783
1752,1430,819
1752,1480,824
1752,1436,808
1752,1460,841
1752,1461,832
1752,1447,806
1752,1453,813
1752,1473,840
1752,1475,825
1752,1467,811
1752,1445,795
1752,1450,820
1752,1451,826
1752,1450,815
1752,1469,816
1752,1471,831
1752,1479,798
1752,1476,831
1752,1454,831
1752,1461,805
1752,1442,786
1752,1460,813
1752,1463,826
1752,1455,802
1752,1439,781
1752,1447,816
1752,1445,820
1752,1462,808
1752,1432,808
1752,1441,799
1752,1467,823
1752,1453,826
1752,1450,830
1752,1445,844
1752,1475,832
1752,1471,836
1752,1443,805
1752,1443,780
1752,1450,803
1752,1398,847
1752,1492,838
1752,1433,822
1752,1435,774
1752,1433,822
1752,1453,840
1752,1451,792
1752,1466,835
1752,1450,823
1752,1446,792
1752,1443,812
1752,1460,803
1752,1458,814
1752,1450,841
1752,1432,822
1752,1472,777
1752,1444,823
1752,1476,803
1752,1453,820
1752,1453,824
1752,1468,813
1752,1439,842
1752,1445,804
1752,1441,824
1752,1445,820
1752,1430,827
1752,1446,832
1752,1432,799
1752,1463,808
1752,1446,813
1752,1440,842
1752,1456,818
1752,1470,793
1752,1482,820
1752,1445,814
1752,1431,813
1752,1446,794
1752,1448,827
1752,1451,776
1752,1460,826
1752,1439,847
1752,1457,829
1752,1429,816
1752,1467,811
1752,1460,782
1752,1438,841
1752,1447,845
1752,1440,813
1752,1434,815
1752,1448,816
1752,1466,818
1752,1447,798
1752,1456,828
1752,1452,800
1752,1466,827
1752,1455,797
1752,1413,848
1752,1463,799
1752,1455,832
1752,1450,808
1752,1476,833
1752,1452,810
1752,1471,818
1752,1443,833
1752,1445,834
1752,1443,817
1752,1483,828
1752,1468,842
1752,1462,847
1752,1469,837
1752,1443,812
1752,1469,828
1752,1456,820
1752,1451,819
1752,1434,809
1752,1453,817
1752,1477,814
1752,1452,815
1752,1443,856
1752,1421,850
1752,1454,817
1752,1466,798
1752,1462,839
1752,1469,824
1752,1462,825
1752,1466,805
1752,1438,818
1752,1452,846
1752,1473,822
1752,1467,822
1752,1435,802
1752,1440,817
1752,1453,798
1752,1468,809
1752,1448,847
1752,1452,819
1752,1464,819
1752,1466,846
1752,1433,817
1752,1474,823
1752,1471,824
1752,1459,815
1752,1474,817
1752,1461,832
1752,1476,805
1752,1445,835
1752,1459,862
1752,1454,814
1752,1465,837
1752,1456,793
1752,1441,820
1752,1466,818
1752,1457,795
1752,1464,803
1752,1441,810
1752,1472,813
1752,1452,803
1752,1458,801
1752,1477,832
1752,1441,843
1752,1467,821
1752,1470,817
1752,1462,817
1752,1481,786
1752,1464,824
1752,1464,813
1752,1493,790
1752,1461,821
1752,1438,825
1752,1457,835
1752,1438,831
1752,1453,829
1752,1475,845
1752,1428,825
1752,1478,802
1752,1451,809
1752,1487,828
1752,1465,834
1752,1462,814
1752,1472,794
1752,1462,833
1752,1440,808
1752,1448,835
1752,1447,801
1752,1447,789
1752,1448,798
1752,1473,833
1752,1446,792
1752,1454,802
1752,1463,798
1752,1480,832
1752,1468,818
1752,1464,800
1752,1453,785
1752,1466,831
1752,1451,865
1752,1427,821
1752,1461,808
1752,1451,821
1752,1456,804
1752,1441,827
1752,1468,816
1752,1434,783
1752,1446,815
1752,1452,815
1752,1462,835
1752,1456,829
1752,1426,835
1752,1459,804
1752,1448,800
1752,1462,804
1752,1463,824
1752,1434,810
1752,1481,785
1752,1454,803
1752,1459,820
1752,1451,818
1752,1452,819
1752,1468,832
1752,1465,795
1752,1442,847
1752,1481,816
1752,1463,824
1752,1444,821
1752,1436,809
1752,1469,836
1752,1440,801
1752,1442,833
1752,1459,868
1752,1448,821
1752,1480,786
1752,1446,811
1752,1458,812
1752,1443,797
1752,1472,830
1752,1466,780
1752,1447,823
1752,1461,819
1752,1474,845
1752,1447,813
1752,1458,821
1752,1477,852
1752,1458,820
1752,1461,828
1752,1463,862
1752,1471,819
1752,1448,839
1752,1469,842
1752,1468,820
1752,1478,840
1752,1493,837
1752,1463,821
1752,1460,827
1752,1478,843
1752,1442,845
1752,1468,793
1752,1436,815
1752,1448,861
1752,1444,821
1752,1473,834
1752,1456,807
1752,1431,838
1752,1465,818
1752,1462,811
1752,1451,798
1752,1478,833
1752,1450,806
1752,1463,773
1752,1448,815
1752,1469,838
1752,1450,823
1752,1449,819
1752,1444,819
1752,1431,809
1752,1459,842
1752,1470,779
1752,1469,812
1752,1435,819
1752,1456,820
1752,1428,828
1752,1482,801
1752,1477,829
1752,1475,826
1752,1480,815
1752,1453,802
1752,1454,829
1752,1472,812
1752,1446,807
1752,1462,820
1752,1442,818
1752,1447,767
1752,1439,818
1752,1437,805
1752,1448,804
1752,1451,813
1752,1428,811
1752,1463,839
1752,1427,831
1752,1501,816
1752,1467,851
1752,1450,798
1752,1465,796
1752,1440,803
1752,1445,818
1752,1437,830
1752,1464,808
1752,1448,833
1752,1450,828
1752,1454,770
1752,1467,824
1752,1458,827
1752,1460,798
1752,1440,804
1752,1446,808
1752,1459,831
1752,1438,806
1752,1459,793
1752,1458,806
1752,1450,807
1752,1477,798
1752,1452,832
1752,1449,801
1752,1459,817
1752,1445,803
1752,1465,819
1752,1438,806
1752,1457,803
1752,1480,840
1752,1479,823
1752,1468,815
1752,1463,805
1752,1445,793
1752,1477,825
1752,1441,812
1752,1440,815
1752,1464,798
1752,1435,796
1752,1448,816
1752,1451,808
1752,1441,805
1752,1448,777
1752,1466,833
1752,1471,821
1752,1466,808
1752,1444,833
1752,1462,823
1752,1450,808
1752,1438,844
1752,1453,815
1752,1450,821
1752,1469,813
1752,1437,840
1752,1437,794
1752,1451,826
1752,1475,803
1752,1459,785
1752,1438,805
1752,1454,810
1752,1453,833
1752,1451,818
1752,1474,855
1752,1480,815
1752,1442,835
1752,1460,808
1752,1486,815
1752,1459,823
1752,1441,818
1752,1455,784
1752,1449,820
1752,1457,806
1752,1439,802
1752,1472,829
1752,1458,807
1752,1457,825
1752,1472,829
1752,1451,821
1752,1458,797
1752,1442,809
1752,1469,794
1752,1475,832
1752,1433,820
1752,1440,853
1752,1432,816
1752,1439,838
1752,1462,835
1752,1424,829
1752,1457,827
1752,1437,814
1752,1451,792
1752,1456,818
1752,1453,823
1752,1470,822
1752,1460,816
1752,1478,833
1752,1445,783
1752,1457,806
1752,1478,813
1752,1470,819
1752,1471,818
1752,1427,831
1752,1454,797
1752,1469,806
1752,1438,812
1752,1445,813
1752,1461,784
1752,1448,809
1752,1460,836
1752,1438,826
1752,1453,796
1752,1462,814
1752,1436,834
1752,1446,853
1752,1440,825
1752,1464,833
1752,1456,800
1752,1459,838
1752,1443,815
1752,1474,807
1752,1457,812
1752,1467,843
1752,1456,799
1752,1467,822
1752,1457,820
1752,1464,795
1752,1456,802
1752,1447,816
1752,1453,825
1752,1436,803
1752,1451,827
1752,1488,791
1752,1468,818
1752,1433,827
1752,1478,817
1752,1440,815
1752,1448,779
1752,1460,825
1752,1438,829
1752,1484,811
1752,1432,833
1752,1442,828
1752,1472,832
1752,1443,826
1752,1439,815
1752,1444,818
1752,1456,814
1752,1456,799
1752,1467,816
1752,1478,803
1752,1470,819
1752,1464,829
1752,1462,834
1752,1465,822
1752,1463,838
1752,1465,810
1752,1471,816
1752,1463,833
1752,1460,818
1752,1456,785
1752,1469,851
1752,1480,835
1752,1490,806
1752,1441,833
1752,1458,814
1752,1448,831
1752,1459,788
1752,1444,837
1752,1463,828
1752,1456,807
1752,1440,828
1752,1469,792
1752,1438,801
1752,1440,810
1752,1447,834
1752,1453,810
1752,1452,821
1752,1448,802
1752,1439,835
1752,1457,837
1752,1459,789
1752,1466,805
1752,1468,831
1752,1436,815
1752,1448,807
1752,1463,812
1752,1448,807
1752,1454,846
1752,1485,786
1752,1444,839
1752,1450,797
1752,1448,798
1752,1460,812
1752,1459,812
1752,1437,826
1752,1427,819
1752,1457,801
1752,1434,834
1752,1441,834
1752,1465,835
1752,1466,812
1752,1451,792
1752,1459,803
1752,1410,807
1752,1449,805
1752,1419,849
1752,1460,797
1752,1466,817
1752,1448,810
1752,1447,841
1752,1451,833
1752,1470,816
1752,1460,810
1752,1467,828
1752,1458,825
1752,1442,798
1752,1455,818
1752,1465,825
1752,1456,811
1752,1489,814
1752,1468,825
1752,1460,817
1752,1433,800
1752,1463,816
1752,1446,809
1752,1442,810
1752,1448,819
1752,1426,825
1752,1465,821
1752,1461,827
1752,1468,803
1752,1461,805
1752,1468,821
1752,1467,810
1752,1454,834
1752,1459,808
1752,1461,827
1752,1438,806
1752,1449,846
1752,1472,806
1752,1434,844
1752,1449,819
1752,1429,829
1752,1449,833
1752,1462,816
1752,1472,799
1752,1445,787
1752,1444,801
1752,1422,840
1752,1469,836
1752,1465,838
1752,1462,818
1752,1477,786
1752,1476,841
1752,1436,825
1752,1448,821
1752,1463,816
1752,1461,806
1752,1450,819
1752,1460,801
1752,1457,858
1752,1465,811
1752,1473,837
1752,1453,855
1752,1472,819
1752,1465,820
1752,1466,836
1752,1483,820
1752,1456,821
1752,1468,807
1752,1479,819
1752,1449,812
1752,1473,807
1752,1454,826
1752,1464,807
1752,1448,819
1752,1488,826
1752,1462,828
1752,1448,821
1752,1433,819
1752,1473,817
1752,1461,814
1752,1458,821
1752,1465,833
1752,1464,828
1752,1430,817
1752,1443,847
1752,1460,788
1752,1474,835
1752,1472,817
1752,1464,808
1752,1461,835
1752,1456,836
1752,1421,830
1752,1489,817
1752,1437,842
1752,1460,807
1752,1457,816
1752,1463,818
1752,1484,813
1752,1473,838
1752,1459,815
1752,1448,823
1752,1454,789
1752,1454,822
1752,1446,769
1752,1458,801
1752,1448,831
1752,1464,813
1752,1463,826
1752,1452,846
1752,1482,764
1752,1485,812
1752,1436,785
1752,1455,830
1752,1440,807
1752,1444,822
1752,1440,801
1752,1440,822
1752,1456,827
1752,1449,830
1752,1442,812
1752,1440,817
1752,1442,822
1752,1447,799
1752,1486,801
