identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
4771,4041,2852
4771,4057,2847
4771,4062,2872
4771,4053,2821
4771,4041,2859
4771,4007,2850
4771,4033,2839
4771,4032,2862
4771,4028,2858
4771,4027,2858
4771,4046,2842
4771,4027,2815
4771,3990,2833
4771,4030,2856
4771,4000,2827
4771,4001,2903
4771,4018,2852
4771,4027,2867
4771,4047,2871
4771,4034,2858
4771,4056,2852
4771,3969,2786
4771,4046,2843
4771,4016,2850
4771,4029,2842
4771,4025,2862
4771,3993,2887
4771,3987,2818
4771,4002,2867
4771,3996,2829
4771,4031,2870
4771,4036,2902
4771,4039,2862
4771,3976,2829
4771,4026,2886
4771,4025,2881
4771,3983,2848
4771,4040,2911
4771,3986,2841
4771,3982,2870
4771,3983,2842
4771,4021,2844
4771,4066,2872
4771,4004,2849
4771,3987,2821
4771,4044,2894
4771,4011,2822
4771,4018,2846
4771,4045,2876
4771,4040,2924
4771,4032,2892
4771,3978,2910
4771,4030,2857
4771,3999,2868
4771,4021,2824
4771,4024,2881
4771,4022,2823
4771,3964,2866
4771,4063,2879
4771,4068,2894
4771,3958,2802
4771,4060,2850
4771,3989,2872
4771,4001,2855
4771,3998,2796
4771,4004,2891
4771,4022,2791
4771,4033,2835
4771,4007,2884
4771,4019,2844
4771,4020,2869
4771,4014,2888
4771,4015,2913
4771,4024,2860
4771,4023,2883
4771,4012,2847
4771,3996,2862
4771,3993,2832
4771,4030,2850
4771,4009,2832
4771,4008,2859
4771,4011,2822
4771,4036,2864
4771,4009,2811
4771,4031,2853
4771,4008,2853
4771,3990,2854
4771,4020,2841
4771,4011,2855
4771,4024,2794
4771,4026,2894
4771,4023,2868
4771,3984,2861
4771,4003,2892
4771,3995,2838
4771,3963,2826
4771,3987,2827
4771,4033,2823
4771,4025,2887
4771,4046,2850
4771,4041,2919
4771,4035,2866
4771,4012,2871
4771,4018,2867
4771,4026,2830
4771,4033,2890
4771,4037,2812
4771,4030,2873
4771,4036,2882
4771,4008,2875
4771,4004,2844
4771,4042,2883
4771,4034,2864
4771,4007,2884
4771,4011,2831
4771,4005,2829
4771,4079,2847
4771,4029,2868
4771,3983,2872
4771,3968,2891
4771,3980,2862
4771,4000,2825
4771,4091,2849
4771,3959,2816
4771,4008,2810
4771,4034,2834
4771,4031,2902
4771,4032,2825
4771,4050,2902
4771,3979,2849
4771,4029,2903
4771,4005,2809
4771,4042,2885
4771,3990,2874
4771,4065,2843
4771,4076,2830
4771,4043,2873
4771,4002,2868
4771,4046,2848
4771,4033,2854
4771,4061,2839
4771,3994,2791
4771,3999,2853
4771,3990,2872
4771,4040,2850
4771,4048,2882
4771,4007,2832
4771,4002,2857
4771,4005,2861
4771,4028,2845
4771,3977,2845
4771,3965,2881
4771,4005,2815
4771,4040,2814
4771,4058,2882
4771,4027,2809
4771,4001,2871
4771,3986,2839
4771,4016,2829
4771,4013,2901
4771,3991,2839
4771,4060,2881
4771,4059,2823
4771,4016,2854
4771,4010,2871
4771,4002,2867
4771,4061,2893
4771,3990,2841
4771,3978,2852
4771,4009,2876
4771,4026,2828
4771,4024,2868
4771,4035,2884
4771,4042,2848
4771,4043,2887
4771,4017,2859
4771,4022,2858
4771,3995,2874
4771,4014,2839
4771,4036,2851
4771,4044,2896
4771,4000,2882
4771,4012,2854
4771,4014,2788
4771,4092,2870
4771,4017,2846
4771,4065,2872
4771,4000,2878
4771,3994,2880
4771,4033,2855
4771,4054,2865
4771,3977,2844
4771,4030,2828
4771,4031,2849
4771,4006,2876
4771,4000,2887
4771,4025,2844
4771,3994,2837
4771,4031,2848
4771,4037,2820
4771,4030,2880
4771,4012,2863
4771,4040,2817
4771,4042,2803
4771,4027,2817
4771,4000,2846
4771,4005,2823
4771,4028,2822
4771,4009,2839
4771,3970,2831
4771,4006,2791
4771,4024,2855
4771,4009,2877
4771,4028,2880
4771,4044,2839
4771,3983,2842
4771,3988,2890
4771,3977,2840
4771,4015,2862
4771,3988,2822
4771,4024,2825
4771,3992,2829
4771,4017,2821
4771,4028,2803
4771,4065,2910
4771,4022,2842
4771,4008,2803
4771,4032,2838
4771,4023,2845
4771,4031,2867
4771,4031,2829
4771,4031,2889
4771,4024,2900
4771,3993,2831
4771,4027,2894
4771,4037,2860
4771,4028,2835
4771,4021,2826
4771,3999,2880
4771,4001,2872
4771,4030,2848
4771,3980,2892
4771,3993,2848
4771,3999,2805
4771,4024,2859
4771,4002,2814
4771,3978,2874
4771,4046,2855
4771,3972,2818
4771,4013,2875
4771,4017,2883
4771,4030,2844
4771,4015,2893
4771,4010,2916
4771,4041,2896
4771,4011,2842
4771,4050,2859
4771,4021,2883
4771,4010,2847
4771,4006,2825
4771,4025,2892
4771,4055,2821
4771,4051,2800
4771,3999,2857
4771,4013,2812
4771,4026,2875
4771,4022,2864
4771,3978,2817
4771,4034,2820
4771,4052,2882
4771,4016,2828
4771,4019,2856
4771,3971,2897
4771,4039,2924
4771,4062,2883
4771,4019,2875
4771,4018,2842
4771,4002,2890
4771,4021,2875
4771,4046,2852
4771,3994,2865
4771,3997,2901
4771,4022,2829
4771,4023,2847
4771,4046,2836
4771,3995,2868
4771,4004,2862
4771,3997,2843
4771,4026,2843
4771,3972,2870
4771,4023,2927
4771,4016,2852
4771,4001,2825
4771,3980,2849
4771,4005,2860
4771,3996,2840
4771,3986,2878
4771,4012,2835
4771,4011,2841
4771,4015,2826
4771,4014,2858
4771,4018,2873
4771,4029,2798
4771,4011,2886
4771,4013,2909
4771,4000,2878
4771,4021,2862
4771,4046,2847
4771,4035,2816
4771,4018,2877
4771,4016,2882
4771,4039,2871
4771,4033,2833
4771,4014,2864
4771,4005,2868
4771,3976,2866
4771,3996,2833
4771,4055,2868
4771,4012,2807
4771,4023,2858
4771,4050,2841
4771,3974,2866
4771,3986,2835
4771,4036,2840
4771,4013,2853
4771,4023,2889
4771,4014,2889
4771,4045,2841
4771,4033,2848
4771,4014,2861
4771,4011,2815
4771,4024,2825
4771,4007,2900
4771,4023,2827
4771,4049,2863
4771,4010,2881
4771,4051,2833
4771,4012,2805
4771,4052,2874
4771,4044,2831
4771,3998,2899
4771,4047,2881
4771,4038,2888
4771,4014,2906
4771,4002,2846
4771,3978,2841
4771,3967,2851
4771,4024,2878
4771,4037,2806
4771,4032,2848
4771,4038,2845
4771,4019,2867
4771,4007,2855
4771,4026,2838
4771,4045,2821
4771,4022,2830
4771,4002,2870
4771,4039,2808
4771,4022,2810
4771,4019,2832
4771,4005,2865
4771,3991,2887
4771,4030,2877
4771,3991,2863
4771,4003,2860
4771,4007,2837
4771,4057,2833
4771,4005,2840
4771,4025,2824
4771,4056,2834
4771,4040,2835
4771,4028,2862
4771,3987,2889
4771,4017,2858
4771,3986,2878
4771,4002,2860
4771,4034,2865
4771,4011,2913
4771,3995,2805
4771,3990,2890
4771,3987,2837
4771,4025,2870
4771,4025,2889
4771,4021,2863
4771,4044,2824
4771,3991,2830
4771,4048,2814
4771,4026,2864
4771,4006,2832
4771,3993,2872
4771,4017,2851
4771,3988,2838
4771,3989,2823
4771,3986,2836
4771,4009,2872
4771,4056,2864
4771,4009,2848
4771,3997,2840
4771,4014,2876
4771,4058,2814
4771,3990,2848
4771,4053,2873
4771,4032,2866
4771,3998,2926
4771,3994,2914
4771,4064,2831
4771,4030,2902
4771,3999,2804
4771,4035,2854
4771,4042,2831
4771,4035,2899
4771,4038,2847
4771,3991,2922
4771,3984,2874
4771,3997,2802
4771,3976,2849
4771,4030,2850
4771,4026,2890
4771,4037,2887
4771,4052,2837
4771,4008,2829
4771,4027,2853
4771,4007,2878
4771,4015,2857
4771,3978,2837
4771,3998,2853
4771,4033,2870
4771,4039,2874
4771,4025,2861
4771,4036,2891
4771,4007,2837
4771,4035,2833
4771,3946,2889
4771,4043,2851
4771,4003,2836
4771,3998,2847
4771,3975,2843
4771,3992,2835
4771,4045,2884
4771,3996,2867
4771,4001,2828
4771,4029,2893
4771,4019,2830
4771,4023,2860
4771,4034,2861
4771,4034,2861
4771,3992,2855
4771,3998,2842
4771,4056,2859
4771,3991,2838
4771,4029,2811
4771,4060,2874
4771,4010,2861
4771,3953,2845
4771,3979,2875
4771,4017,2853
4771,4024,2841
4771,4034,2836
4771,4008,2830
4771,3995,2879
4771,3983,2860
4771,3990,2869
4771,4023,2817
4771,3968,2865
4771,3991,2855
4771,3993,2855
4771,3990,2854
4771,4012,2868
4771,4053,2827
4771,4003,2857
4771,4045,2855
4771,4019,2838
4771,4015,2903
4771,3994,2807
4771,3992,2909
4771,3972,2821
4771,4027,2867
4771,4043,2910
4771,4001,2873
4771,4024,2825
4771,4026,2873
4771,4028,2836
4771,4020,2889
4771,4026,2826
4771,4000,2931
4771,4055,2844
4771,4019,2852
4771,3975,2845
4771,4025,2811
4771,4015,2841
4771,4042,2906
4771,4020,2861
4771,3987,2878
4771,4036,2866
4771,3984,2857
4771,4001,2856
4771,4009,2882
4771,4008,2846
4771,4003,2860
4771,4026,2834
4771,4023,2829
4771,3989,2903
4771,4004,2801
4771,4008,2882
4771,4025,2878
4771,3984,2842
4771,4028,2861
4771,4043,2862
4771,4020,2896
4771,4032,2855
4771,4017,2844
4771,3990,2866
4771,3993,2892
4771,4026,2835
4771,4042,2829
4771,3994,2825
4771,4022,2876
4771,4014,2869
4771,4004,2900
4771,4021,2881
4771,4015,2858
4771,4034,2901
4771,4006,2827
4771,4085,2846
4771,4007,2891
4771,4038,2853
4771,4058,2881
4771,4015,2886
4771,4031,2951
4771,3987,2914
4771,4019,2867
4771,4027,2817
4771,3997,2857
4771,4046,2876
4771,4009,2822
4771,3967,2853
4771,3994,2979
4771,4013,2861
4771,4020,2863
4771,4041,2932
4771,4047,2876
4771,4006,2820
4771,4017,2859
4771,3961,2870
4771,4032,2870
4771,3974,2889
4771,4012,2884
4771,4010,2846
4771,4003,2897
4771,3996,2855
4771,4005,2858
4771,4014,2865
4771,3972,2857
4771,4036,2894
4771,3989,2871
4771,4008,2874
4771,4051,2869
4771,4051,2849
4771,4045,2852
4771,4018,2919
4771,4046,2857
4771,4009,2865
4771,4011,2829
4771,4043,2856
4771,4086,2827
4771,4017,2825
4771,4026,2842
4771,4024,2853
4771,3997,2862
4771,4058,2835
4771,4031,2876
4771,4010,2841
4771,4043,2852
4771,3999,2866
4771,4027,2861
4771,4009,2844
4771,4012,2860
4771,4019,2890
4771,3976,2846
4771,4017,2827
4771,4021,2829
4771,3999,2873
4771,4046,2854
4771,4022,2855
4771,3996,2845
4771,3988,2859
4771,3997,2875
4771,4018,2864
4771,4007,2841
4771,4040,2829
4771,4049,2866
4771,4024,2881
4771,4000,2822
4771,4045,2841
4771,3982,2849
4771,4016,2854
4771,4033,2875
4771,3992,2830
4771,4022,2805
4771,4048,2838
4771,4044,2860
4771,4025,2874
4771,3984,2845
4771,4074,2815
4771,4011,2887
4771,4019,2856
4771,4002,2892
4771,3991,2871
4771,4021,2834
4771,4019,2880
4771,4019,2820
4771,4030,2837
4771,4079,2879
4771,4033,2828
4771,3989,2884
4771,4005,2854
4771,4042,2831
4771,3996,2829
4771,4033,2884
4771,4020,2831
4771,4021,2846
4771,4040,2883
4771,4024,2865
4771,4004,2843
4771,4045,2862
4771,4019,2831
4771,4009,2917
4771,4043,2928
4771,3997,2876
4771,4030,2926
4771,4024,2837
4771,3967,2893
