identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
5192,4671,2144
5192,4645,2225
5192,4647,2215
5192,4633,2236
5192,4632,2263
5192,4643,2251
5192,4636,2237
5192,4658,2222
5192,4656,2275
5192,4681,2178
5192,4673,2194
5192,4676,2206
5192,4654,2171
5192,4642,2233
5192,4691,2211
5192,4655,2207
5192,4661,2195
5192,4638,2260
5192,4663,2224
5192,4669,2194
5192,4622,2209
5192,4628,2171
5192,4623,2175
5192,4657,2172
5192,4675,2230
5192,4692,2194
5192,4648,2243
5192,4603,2221
5192,4614,2174
5192,4638,2181
5192,4700,2277
5192,4652,2196
5192,4660,2170
5192,4698,2242
5192,4649,2223
5192,4695,2223
5192,4669,2231
5192,4664,2267
5192,4642,2242
5192,4624,2167
5192,4660,2210
5192,4672,2220
5192,4639,2260
5192,4650,2237
5192,4684,2188
5192,4659,2165
5192,4624,2208
5192,4647,2253
5192,4601,2225
5192,4670,2208
5192,4616,2232
5192,4676,2211
5192,4696,2245
5192,4649,2208
5192,4672,2215
5192,4636,2204
5192,4665,2224
5192,4692,2212
5192,4661,2294
5192,4628,2221
5192,4695,2176
5192,4659,2211
5192,4681,2207
5192,4632,2236
5192,4639,2248
5192,4638,2161
5192,4675,2191
5192,4644,2198
5192,4651,2186
5192,4676,2232
5192,4654,2230
5192,4649,2238
5192,4647,2218
5192,4650,2206
5192,4618,2228
5192,4677,2235
5192,4641,2204
5192,4650,2239
5192,4660,2233
5192,4673,2212
5192,4635,2189
5192,4644,2192
5192,4653,2148
5192,4697,2214
5192,4662,2209
5192,4657,2221
5192,4620,2170
5192,4660,2158
5192,4635,2207
5192,4672,2243
5192,4637,2210
5192,4693,2211
5192,4641,2218
5192,4633,2213
5192,4628,2153
5192,4662,2244
5192,4662,2227
5192,4646,2217
5192,4656,2186
5192,4647,2215
5192,4636,2230
5192,4635,2207
5192,4660,2197
5192,4675,2197
5192,4629,2150
5192,4667,2221
5192,4669,2217
5192,4659,2221
5192,4658,2222
5192,4625,2195
5192,4661,2209
5192,4684,2263
5192,4620,2182
5192,4649,2174
5192,4673,2190
5192,4639,2238
5192,4690,2227
5192,4651,2192
5192,4656,2189
5192,4687,2220
5192,4626,2199
5192,4623,2172
5192,4652,2211
5192,4644,2190
5192,4638,2202
5192,4652,2211
5192,4648,2208
5192,4653,2185
5192,4677,2198
5192,4637,2196
5192,4628,2252
5192,4628,2217
5192,4644,2192
5192,4646,2174
5192,4676,2166
5192,4642,2179
5192,4649,2199
5192,4618,2211
5192,4675,2203
5192,4656,2206
5192,4690,2244
5192,4662,2200
5192,4643,2195
5192,4661,2245
5192,4645,2262
5192,4652,2208
5192,4720,2221
5192,4694,2242
5192,4647,2227
5192,4650,2186
5192,4659,2246
5192,4631,2263
5192,4624,2223
5192,4673,2197
5192,4661,2228
5192,4665,2205
5192,4653,2209
5192,4660,2203
5192,4662,2231
5192,4651,2232
5192,4673,2228
5192,4651,2180
5192,4652,2249
5192,4628,2183
5192,4695,2202
5192,4693,2185
5192,4665,2210
5192,4655,2184
5192,4673,2228
5192,4621,2249
5192,4653,2234
5192,4691,2211
5192,4659,2211
5192,4619,2229
5192,4683,2204
5192,4639,2226
5192,4649,2222
5192,4675,2239
5192,4692,2199
5192,4687,2215
5192,4682,2211
5192,4685,2234
5192,4654,2209
5192,4624,2261
5192,4622,2214
5192,4682,2242
5192,4645,2183
5192,4664,2189
5192,4640,2208
5192,4635,2260
5192,4648,2224
5192,4647,2156
5192,4633,2222
5192,4631,2159
5192,4681,2228
5192,4636,2206
5192,4661,2181
5192,4679,2212
5192,4658,2206
5192,4639,2237
5192,4666,2198
5192,4638,2221
5192,4638,2231
5192,4671,2148
5192,4654,2227
5192,4660,2201
5192,4698,2228
5192,4651,2212
5192,4624,2228
5192,4664,2197
5192,4689,2212
5192,4644,2213
5192,4687,2159
5192,4674,2215
5192,4682,2197
5192,4620,2244
5192,4635,2195
5192,4647,2241
5192,4641,2211
5192,4682,2230
5192,4673,2222
5192,4615,2199
5192,4636,2232
5192,4634,2215
5192,4641,2280
5192,4627,2204
5192,4650,2177
5192,4655,2226
5192,4671,2184
5192,4658,2249
5192,4652,2190
5192,4650,2227
5192,4677,2184
5192,4681,2208
5192,4663,2236
5192,4624,2214
5192,4685,2182
