identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
12583,11282,7410
12583,11234,7358
12583,11264,7417
12583,11260,7470
12583,11264,7378
12583,11238,7374
12583,11260,7404
12583,11245,7396
12583,11187,7403
12583,11251,7505
12583,11265,7398
12583,11256,7350
12583,11206,7410
12583,11262,7408
12583,11232,7408
12583,11249,7465
12583,11268,7478
12583,11253,7456
12583,11262,7405
12583,11214,7506
12583,11174,7548
12583,11218,7484
12583,11244,7411
12583,11249,7432
12583,11217,7398
12583,11172,7343
12583,11210,7485
12583,11274,7392
12583,11168,7447
12583,11199,7476
12583,11222,7486
12583,11196,7424
12583,11210,7390
12583,11184,7490
12583,11264,7385
12583,11255,7441
12583,11281,7395
12583,11243,7442
12583,11263,7480
12583,11235,7387
12583,11273,7541
12583,11296,7434
12583,11219,7451
12583,11254,7512
12583,11189,7501
12583,11242,7456
12583,11243,7439
12583,11220,7435
12583,11281,7402
12583,11214,7415
12583,11208,7405
12583,11263,7383
12583,11205,7390
12583,11254,7445
12583,11289,7358
12583,11234,7418
12583,11152,7437
12583,11230,7460
12583,11261,7389
12583,11240,7454
12583,11223,7420
12583,11279,7514
12583,11217,7322
12583,11214,7421
12583,11236,7456
12583,11266,7389
12583,11189,7394
12583,11258,7383
12583,11280,7433
12583,11187,7343
12583,11213,7492
12583,11189,7371
12583,11217,7394
12583,11265,7357
12583,11225,7496
12583,11253,7423
12583,11259,7448
12583,11235,7480
12583,11290,7386
12583,11258,7413
12583,11272,7467
12583,11211,7435
12583,11238,7364
12583,11215,7444
12583,11233,7371
12583,11234,7476
12583,11196,7449
12583,11261,7425
12583,11224,7463
12583,11259,7435
12583,11261,7406
12583,11195,7393
12583,11246,7506
12583,11189,7425
12583,11226,7437
12583,11213,7427
12583,11256,7388
12583,11231,7410
12583,11266,7435
12583,11212,7450
12583,11236,7450
12583,11238,7377
12583,11249,7402
12583,11244,7478
12583,11238,7437
12583,11247,7401
12583,11294,7411
12583,11303,7300
12583,11207,7397
12583,11232,7450
12583,11259,7393
12583,11208,7394
12583,11258,7391
12583,11202,7403
12583,11207,7528
12583,11274,7408
12583,11209,7384
12583,11250,7445
12583,11209,7427
12583,11221,7470
12583,11244,7370
12583,11226,7441
12583,11207,7411
12583,11248,7392
12583,11222,7394
12583,11203,7398
12583,11179,7458
12583,11301,7383
12583,11224,7479
12583,11271,7370
12583,11250,7396
12583,11196,7362
12583,11228,7436
12583,11239,7339
12583,11172,7364
12583,11229,7448
12583,11194,7406
12583,11252,7426
12583,11247,7468
12583,11310,7409
12583,11167,7379
12583,11183,7465
12583,11168,7396
12583,11288,7388
12583,11244,7454
12583,11213,7437
12583,11220,7438
12583,11230,7445
12583,11224,7520
12583,11199,7347
12583,11245,7383
12583,11245,7487
12583,11301,7431
12583,11235,7407
12583,11198,7443
12583,11285,7392
12583,11197,7373
12583,11263,7434
12583,11264,7429
12583,11264,7461
12583,11205,7401
12583,11220,7286
12583,11227,7432
12583,11221,7455
12583,11226,7409
12583,11251,7436
12583,11287,7375
12583,11203,7476
12583,11249,7477
12583,11251,7506
12583,11201,7396
12583,11217,7353
12583,11245,7508
12583,11248,7389
12583,11312,7396
12583,11201,7392
12583,11240,7381
12583,11233,7469
12583,11229,7399
12583,11267,7414
12583,11220,7401
12583,11230,7429
12583,11276,7376
12583,11282,7431
12583,11231,7350
12583,11254,7477
12583,11255,7434
12583,11219,7425
12583,11257,7412
12583,11265,7428
12583,11324,7449
12583,11219,7430
12583,11295,7492
12583,11276,7417
12583,11197,7372
12583,11254,7438
12583,11259,7449
12583,11274,7373
12583,11266,7441
12583,11204,7401
12583,11244,7446
12583,11262,7421
12583,11278,7426
12583,11301,7345
12583,11171,7388
12583,11251,7354
12583,11215,7395
12583,11211,7446
12583,11270,7306
12583,11248,7462
12583,11192,7437
12583,11226,7381
12583,11248,7506
12583,11247,7451
12583,11275,7409
12583,11324,7438
12583,11248,7499
12583,11201,7409
12583,11230,7498
12583,11285,7319
12583,11230,7423
12583,11231,7501
12583,11226,7452
12583,11226,7388
12583,11230,7478
12583,11269,7451
12583,11169,7408
12583,11291,7492
12583,11270,7384
12583,11213,7407
12583,11174,7385
12583,11200,7392
12583,11224,7462
12583,11220,7467
12583,11247,7394
12583,11244,7437
12583,11251,7439
12583,11245,7361
12583,11251,7367
12583,11277,7381
12583,11195,7431
12583,11343,7365
12583,11224,7424
12583,11207,7426
12583,11261,7434
12583,11231,7400
12583,11258,7468
12583,11239,7443
12583,11246,7466
12583,11205,7317
12583,11228,7416
12583,11217,7412
12583,11262,7459
12583,11194,7477
12583,11251,7468
12583,11232,7460
12583,11197,7429
12583,11273,7365
12583,11253,7459
12583,11233,7448
12583,11229,7443
12583,11285,7431
12583,11273,7457
12583,11264,7491
12583,11278,7450
12583,11204,7425
12583,11265,7402
12583,11205,7398
12583,11260,7504
12583,11236,7348
12583,11194,7440
12583,11232,7453
12583,11246,7402
12583,11208,7415
12583,11255,7440
12583,11195,7386
12583,11244,7370
12583,11237,7360
12583,11188,7392
12583,11222,7437
12583,11227,7394
12583,11307,7422
12583,11253,7462
12583,11224,7490
12583,11284,7404
12583,11287,7506
12583,11275,7436
12583,11254,7351
12583,11177,7382
12583,11201,7503
12583,11226,7316
12583,11232,7420
12583,11183,7354
12583,11193,7451
12583,11249,7371
12583,11220,7423
12583,11264,7384
12583,11283,7346
12583,11236,7398
12583,11255,7368
12583,11168,7501
12583,11227,7422
12583,11235,7486
12583,11284,7376
12583,11223,7375
12583,11250,7334
12583,11248,7423
12583,11222,7464
12583,11254,7391
12583,11218,7446
12583,11274,7383
12583,11220,7406
12583,11168,7353
12583,11253,7405
12583,11131,7407
12583,11283,7357
12583,11303,7550
12583,11221,7432
12583,11286,7465
12583,11201,7498
12583,11238,7395
12583,11229,7428
12583,11224,7383
12583,11185,7393
12583,11218,7515
12583,11256,7400
12583,11300,7409
12583,11211,7350
12583,11198,7392
12583,11253,7329
12583,11230,7398
12583,11320,7397
12583,11247,7364
12583,11240,7483
12583,11261,7402
12583,11226,7404
12583,11266,7425
12583,11159,7440
12583,11277,7346
12583,11183,7366
12583,11233,7451
12583,11250,7458
12583,11248,7513
12583,11229,7377
12583,11189,7372
12583,11277,7410
12583,11204,7441
12583,11225,7449
12583,11245,7406
12583,11252,7494
12583,11275,7350
12583,11250,7360
12583,11245,7444
12583,11229,7490
12583,11231,7392
12583,11253,7406
12583,11243,7483
12583,11247,7392
12583,11207,7488
12583,11268,7407
12583,11201,7392
12583,11281,7471
12583,11166,7427
12583,11226,7434
12583,11192,7439
12583,11208,7392
12583,11300,7438
12583,11192,7467
12583,11193,7439
12583,11226,7390
12583,11196,7378
12583,11217,7421
12583,11219,7445
12583,11293,7425
12583,11242,7508
12583,11310,7414
12583,11230,7389
12583,11248,7373
12583,11223,7461
12583,11202,7432
12583,11257,7413
12583,11224,7461
12583,11217,7371
12583,11223,7403
12583,11235,7372
12583,11228,7413
12583,11195,7417
12583,11236,7398
12583,11209,7379
12583,11189,7389
12583,11219,7378
12583,11252,7356
12583,11239,7418
12583,11234,7454
12583,11260,7349
12583,11252,7408
12583,11205,7444
12583,11216,7405
12583,11308,7402
12583,11259,7412
12583,11183,7373
12583,11203,7431
12583,11278,7448
12583,11204,7398
12583,11200,7436
12583,11250,7438
12583,11230,7407
12583,11240,7353
12583,11288,7467
12583,11247,7426
12583,11309,7452
12583,11263,7416
12583,11235,7355
12583,11225,7450
12583,11233,7494
12583,11275,7461
12583,11223,7429
12583,11309,7394
12583,11340,7317
12583,11202,7349
12583,11265,7461
12583,11188,7394
12583,11212,7504
12583,11255,7399
12583,11252,7457
12583,11252,7444
12583,11206,7421
12583,11264,7428
12583,11251,7525
12583,11237,7479
12583,11281,7422
12583,11156,7434
12583,11210,7478
12583,11220,7442
12583,11308,7492
12583,11212,7509
12583,11219,7437
12583,11190,7422
12583,11170,7432
12583,11252,7451
12583,11274,7418
12583,11254,7371
12583,11212,7417
12583,11237,7375
12583,11285,7456
12583,11227,7448
12583,11248,7399
12583,11232,7352
12583,11276,7411
12583,11237,7412
12583,11211,7449
12583,11265,7392
12583,11188,7423
12583,11233,7357
12583,11250,7449
12583,11202,7428
12583,11232,7460
12583,11205,7382
12583,11222,7475
12583,11248,7377
12583,11221,7390
12583,11277,7458
12583,11295,7472
12583,11261,7410
12583,11219,7339
12583,11243,7354
12583,11193,7399
12583,11237,7406
12583,11221,7424
12583,11243,7341
12583,11213,7443
12583,11240,7466
12583,11270,7323
12583,11240,7402
12583,11205,7445
12583,11235,7452
12583,11240,7498
12583,11193,7361
12583,11247,7418
12583,11233,7353
12583,11253,7432
12583,11247,7410
12583,11246,7405
12583,11180,7341
12583,11258,7424
12583,11164,7435
12583,11245,7406
12583,11300,7411
12583,11257,7417
12583,11208,7464
12583,11294,7423
12583,11269,7360
12583,11261,7352
12583,11271,7436
12583,11294,7385
12583,11249,7310
12583,11200,7422
12583,11216,7385
12583,11233,7359
12583,11239,7342
12583,11253,7395
12583,11270,7470
12583,11219,7489
12583,11261,7360
12583,11235,7515
12583,11210,7446
12583,11270,7387
12583,11270,7392
12583,11266,7545
12583,11262,7339
12583,11242,7417
12583,11278,7453
12583,11226,7376
12583,11251,7398
12583,11219,7366
12583,11202,7311
12583,11162,7454
12583,11233,7304
12583,11234,7409
12583,11214,7449
12583,11240,7479
12583,11217,7330
12583,11203,7309
12583,11197,7417
12583,11242,7486
12583,11203,7395
12583,11283,7520
12583,11224,7470
12583,11194,7383
12583,11206,7444
12583,11269,7443
12583,11272,7459
12583,11196,7439
12583,11240,7517
12583,11236,7416
12583,11221,7419
12583,11183,7512
12583,11177,7339
12583,11262,7470
12583,11242,7381
12583,11258,7419
12583,11251,7417
12583,11258,7346
12583,11226,7402
12583,11169,7463
12583,11190,7499
12583,11284,7440
12583,11262,7480
12583,11257,7407
12583,11260,7426
12583,11230,7408
12583,11270,7389
12583,11193,7438
12583,11263,7355
12583,11225,7468
12583,11217,7451
12583,11214,7452
12583,11338,7417
12583,11212,7382
12583,11267,7431
12583,11240,7422
12583,11237,7461
12583,11237,7370
12583,11280,7411
12583,11238,7366
12583,11322,7374
12583,11278,7425
12583,11200,7434
12583,11241,7402
12583,11210,7453
12583,11210,7486
12583,11229,7300
12583,11248,7427
12583,11190,7392
12583,11236,7498
12583,11254,7360
12583,11330,7437
12583,11223,7449
12583,11243,7433
12583,11238,7357
12583,11277,7387
12583,11240,7432
12583,11209,7407
12583,11240,7417
12583,11224,7385
12583,11271,7417
12583,11228,7453
12583,11241,7416
12583,11262,7415
12583,11259,7448
12583,11255,7333
12583,11231,7462
12583,11192,7412
12583,11220,7443
12583,11246,7399
12583,11232,7416
12583,11222,7460
12583,11249,7298
12583,11193,7438
12583,11257,7428
12583,11230,7429
12583,11193,7432
12583,11163,7490
12583,11261,7474
12583,11279,7540
12583,11227,7473
12583,11240,7425
12583,11233,7397
12583,11243,7406
12583,11251,7437
12583,11289,7280
12583,11239,7469
12583,11205,7497
12583,11254,7421
12583,11265,7416
12583,11224,7406
12583,11224,7435
12583,11248,7365
12583,11293,7431
12583,11271,7451
12583,11273,7448
12583,11235,7372
12583,11226,7456
12583,11255,7409
12583,11263,7455
12583,11215,7437
12583,11225,7437
12583,11236,7432
12583,11255,7389
12583,11228,7444
12583,11242,7443
12583,11249,7552
12583,11218,7427
12583,11215,7454
12583,11286,7447
12583,11254,7395
12583,11206,7375
12583,11259,7415
12583,11235,7491
12583,11301,7422
12583,11276,7431
12583,11227,7374
12583,11224,7398
12583,11245,7334
12583,11302,7363
12583,11217,7479
12583,11224,7427
12583,11234,7451
12583,11211,7442
12583,11218,7437
12583,11212,7398
12583,11155,7473
12583,11182,7398
12583,11273,7352
12583,11241,7381
12583,11225,7437
12583,11218,7455
12583,11233,7333
12583,11275,7486
12583,11237,7431
12583,11293,7403
12583,11273,7439
12583,11230,7361
12583,11217,7434
12583,11235,7432
12583,11275,7481
12583,11259,7458
12583,11257,7384
12583,11222,7465
12583,11262,7461
12583,11293,7341
12583,11215,7446
12583,11202,7378
12583,11214,7476
12583,11172,7444
12583,11187,7386
12583,11192,7425
12583,11237,7437
12583,11225,7393
12583,11208,7411
12583,11174,7414
12583,11254,7498
12583,11212,7404
12583,11313,7403
12583,11220,7386
12583,11271,7436
12583,11288,7456
12583,11180,7385
12583,11194,7443
12583,11253,7356
12583,11196,7459
12583,11271,7374
12583,11257,7502
12583,11260,7375
12583,11269,7403
12583,11266,7431
12583,11247,7482
12583,11229,7384
12583,11296,7351
12583,11273,7385
12583,11197,7404
12583,11243,7404
12583,11234,7462
12583,11277,7399
12583,11256,7365
12583,11258,7437
12583,11217,7461
12583,11173,7422
12583,11260,7442
12583,11189,7402
12583,11257,7410
12583,11213,7447
12583,11261,7441
12583,11202,7366
12583,11270,7428
12583,11297,7431
12583,11213,7424
12583,11221,7388
12583,11249,7372
12583,11239,7445
12583,11265,7451
12583,11193,7395
12583,11252,7386
12583,11217,7420
12583,11182,7491
12583,11194,7403
12583,11208,7475
12583,11236,7366
12583,11253,7581
12583,11231,7400
12583,11210,7472
12583,11166,7446
12583,11282,7416
