identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
2098,1658,572
2098,1705,619
2098,1682,598
2098,1673,599
2098,1705,582
2098,1737,603
2098,1699,577
2098,1682,562
2098,1719,623
2098,1719,603
2098,1692,614
2098,1708,599
2098,1704,575
2098,1694,600
2098,1700,633
2098,1678,581
2098,1704,596
2098,1692,613
2098,1677,641
2098,1700,581
2098,1681,614
2098,1704,588
2098,1696,582
2098,1704,590
2098,1702,556
2098,1695,563
2098,1705,591
2098,1717,606
2098,1721,567
2098,1697,584
2098,1728,569
2098,1697,609
2098,1715,592
2098,1721,557
2098,1685,577
2098,1694,599
2098,1689,576
2098,1691,586
2098,1707,588
2098,1690,583
2098,1697,589
2098,1730,599
2098,1701,600
2098,1670,586
2098,1724,585
2098,1703,614
2098,1671,559
2098,1728,594
2098,1683,562
2098,1720,606
2098,1692,569
2098,1705,589
2098,1719,567
2098,1691,611
2098,1666,555
2098,1682,581
2098,1691,587
2098,1695,591
2098,1674,592
2098,1698,573
2098,1711,572
2098,1715,573
2098,1682,586
2098,1687,580
2098,1691,569
2098,1704,590
2098,1682,576
2098,1718,554
2098,1707,590
2098,1704,598
2098,1674,563
2098,1734,607
2098,1696,573
2098,1694,593
2098,1706,581
2098,1685,562
2098,1706,582
2098,1697,591
2098,1696,600
2098,1724,617
2098,1676,567
2098,1713,594
2098,1700,568
2098,1660,606
2098,1707,583
2098,1701,566
2098,1711,589
2098,1699,610
2098,1703,573
2098,1705,607
2098,1686,571
2098,1681,601
2098,1728,584
2098,1695,597
2098,1691,600
2098,1698,614
2098,1699,579
2098,1718,600
2098,1699,601
2098,1724,569
2098,1713,568
2098,1718,596
2098,1703,597
2098,1704,579
2098,1673,605
2098,1685,567
2098,1704,592
2098,1693,558
2098,1701,593
2098,1695,589
2098,1675,604
2098,1691,567
2098,1702,608
2098,1702,579
2098,1704,586
2098,1709,560
2098,1726,607
2098,1670,575
2098,1732,580
2098,1691,568
2098,1694,576
2098,1692,607
2098,1692,571
2098,1707,618
2098,1684,581
2098,1698,596
2098,1688,591
2098,1694,555
2098,1702,595
2098,1718,576
2098,1708,582
2098,1694,576
2098,1712,592
2098,1678,576
2098,1719,596
2098,1699,611
2098,1684,601
2098,1697,569
2098,1699,599
2098,1675,580
2098,1703,599
2098,1706,593
2098,1695,551
2098,1711,581
2098,1693,595
2098,1662,556
2098,1694,615
2098,1710,604
2098,1685,557
2098,1695,600
2098,1730,589
2098,1680,538
2098,1673,608
2098,1708,590
2098,1673,577
2098,1705,583
2098,1699,602
2098,1675,604
2098,1673,570
2098,1713,600
2098,1665,559
2098,1706,597
2098,1701,591
2098,1691,592
2098,1683,614
2098,1703,580
2098,1705,595
2098,1735,633
2098,1716,571
2098,1684,596
2098,1699,570
2098,1676,592
2098,1708,596
2098,1701,573
2098,1718,615
2098,1680,575
2098,1753,564
2098,1707,590
2098,1712,586
2098,1687,575
2098,1692,606
2098,1703,581
2098,1725,574
2098,1700,617
2098,1680,607
2098,1657,559
2098,1723,562
2098,1668,542
2098,1711,603
2098,1699,579
2098,1695,593
2098,1732,555
2098,1683,595
2098,1702,583
2098,1690,610
2098,1663,582
2098,1701,590
2098,1684,600
2098,1687,628
2098,1667,587
2098,1710,561
2098,1690,600
2098,1694,600
2098,1673,627
2098,1695,598
2098,1688,556
2098,1741,586
2098,1712,580
2098,1719,547
2098,1676,600
2098,1679,559
2098,1690,591
2098,1701,600
2098,1702,610
2098,1694,580
2098,1671,608
2098,1683,575
2098,1679,608
2098,1692,580
2098,1684,590
2098,1696,615
2098,1701,586
2098,1689,600
2098,1697,582
2098,1703,602
2098,1706,555
2098,1735,609
2098,1719,554
2098,1684,570
2098,1692,576
2098,1716,596
2098,1720,613
2098,1684,586
2098,1709,573
2098,1684,572
2098,1720,597
2098,1634,589
2098,1713,577
2098,1668,614
2098,1700,570
2098,1694,594
2098,1673,617
2098,1683,607
2098,1701,559
2098,1696,600
2098,1702,605
2098,1710,613
2098,1689,598
2098,1685,592
2098,1666,585
2098,1727,592
2098,1700,559
2098,1695,590
2098,1700,579
2098,1690,607
2098,1724,591
2098,1709,564
2098,1727,621
2098,1712,600
2098,1713,629
2098,1699,561
2098,1706,582
2098,1694,571
2098,1704,583
2098,1699,565
2098,1689,590
2098,1686,600
2098,1710,544
2098,1694,567
2098,1669,584
2098,1687,611
2098,1692,598
2098,1679,623
2098,1698,570
2098,1719,599
2098,1693,607
2098,1658,597
2098,1714,567
2098,1710,579
2098,1726,588
2098,1695,600
2098,1700,587
2098,1695,582
2098,1728,580
2098,1705,599
2098,1693,595
2098,1698,573
2098,1710,599
2098,1698,564
2098,1709,609
2098,1699,588
2098,1665,562
2098,1700,584
2098,1709,606
2098,1680,587
2098,1679,620
2098,1685,597
2098,1716,589
2098,1698,598
