identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
6483,5579,1661
6483,5618,1684
6483,5594,1747
6483,5600,1681
6483,5607,1708
6483,5631,1727
6483,5643,1763
6483,5563,1771
6483,5610,1748
6483,5604,1719
6483,5630,1764
6483,5586,1733
6483,5560,1779
6483,5614,1743
6483,5584,1764
6483,5621,1781
6483,5604,1755
6483,5642,1716
6483,5625,1729
6483,5575,1731
6483,5600,1710
6483,5591,1715
6483,5610,1749
6483,5612,1679
6483,5660,1731
6483,5656,1714
6483,5616,1740
6483,5592,1723
6483,5635,1677
6483,5659,1735
6483,5635,1708
6483,5641,1729
6483,5597,1708
6483,5623,1771
6483,5569,1758
6483,5579,1672
6483,5607,1712
6483,5598,1707
6483,5614,1739
6483,5587,1713
6483,5652,1714
6483,5619,1776
6483,5640,1734
6483,5604,1723
6483,5616,1730
6483,5589,1679
6483,5598,1688
6483,5608,1725
6483,5666,1775
6483,5638,1672
6483,5567,1767
6483,5562,1762
6483,5631,1774
6483,5616,1770
6483,5609,1714
6483,5627,1701
6483,5656,1718
6483,5584,1696
6483,5591,1693
6483,5630,1739
6483,5660,1713
6483,5568,1702
6483,5639,1745
6483,5553,1748
6483,5602,1770
6483,5620,1721
6483,5597,1746
6483,5579,1668
6483,5587,1765
6483,5626,1728
6483,5611,1703
6483,5598,1753
6483,5601,1738
6483,5635,1702
6483,5562,1706
6483,5615,1674
6483,5596,1757
6483,5615,1729
6483,5604,1766
6483,5613,1790
6483,5588,1684
6483,5591,1717
6483,5598,1686
6483,5629,1731
6483,5559,1758
6483,5600,1736
6483,5679,1719
6483,5563,1759
6483,5677,1690
6483,5616,1749
6483,5593,1739
6483,5592,1701
6483,5561,1727
6483,5628,1743
6483,5580,1748
6483,5583,1710
6483,5605,1778
6483,5608,1724
6483,5611,1696
6483,5587,1776
6483,5628,1723
6483,5581,1665
6483,5615,1683
6483,5594,1738
6483,5570,1766
6483,5619,1683
6483,5577,1713
6483,5611,1769
6483,5576,1760
6483,5570,1726
6483,5615,1739
6483,5635,1731
6483,5596,1672
6483,5614,1736
6483,5575,1712
6483,5575,1705
6483,5604,1721
6483,5616,1683
6483,5604,1785
6483,5619,1781
6483,5552,1774
6483,5557,1780
6483,5618,1714
6483,5636,1696
6483,5632,1697
6483,5603,1748
6483,5603,1733
6483,5642,1790
6483,5595,1754
6483,5583,1690
6483,5581,1722
6483,5582,1775
6483,5584,1791
6483,5572,1757
6483,5642,1724
6483,5607,1809
6483,5651,1710
6483,5635,1715
6483,5644,1757
6483,5624,1730
6483,5645,1746
6483,5620,1723
6483,5640,1709
6483,5591,1732
6483,5575,1731
6483,5582,1780
6483,5583,1753
6483,5632,1723
6483,5624,1762
6483,5672,1729
6483,5652,1819
6483,5630,1717
6483,5593,1776
6483,5621,1675
6483,5640,1766
6483,5621,1714
6483,5624,1755
6483,5575,1758
6483,5587,1768
6483,5615,1732
6483,5595,1754
6483,5618,1703
6483,5584,1759
6483,5579,1759
6483,5663,1713
6483,5635,1791
6483,5592,1751
6483,5606,1718
6483,5650,1775
6483,5614,1744
6483,5619,1732
6483,5640,1761
6483,5639,1746
6483,5596,1741
6483,5584,1759
6483,5605,1742
6483,5574,1741
6483,5619,1703
6483,5646,1771
6483,5632,1739
6483,5620,1688
6483,5654,1681
6483,5639,1710
6483,5559,1754
6483,5639,1788
6483,5639,1731
6483,5600,1767
6483,5627,1747
6483,5600,1724
6483,5598,1700
6483,5606,1742
6483,5645,1773
6483,5622,1686
6483,5618,1764
6483,5607,1708
6483,5591,1689
6483,5624,1716
6483,5556,1733
6483,5614,1742
6483,5632,1708
6483,5620,1750
6483,5600,1726
6483,5617,1713
6483,5581,1744
6483,5629,1738
6483,5591,1773
6483,5628,1741
6483,5616,1736
6483,5625,1716
6483,5597,1749
6483,5565,1719
6483,5548,1812
6483,5626,1715
6483,5652,1727
6483,5649,1696
6483,5647,1697
6483,5629,1736
6483,5610,1711
6483,5634,1742
6483,5606,1729
6483,5611,1723
6483,5651,1663
6483,5581,1744
6483,5582,1717
6483,5600,1737
6483,5595,1722
6483,5628,1732
6483,5602,1678
6483,5622,1702
6483,5588,1732
6483,5647,1772
6483,5609,1737
6483,5599,1679
6483,5615,1715
6483,5614,1748
6483,5613,1763
6483,5644,1761
6483,5634,1729
6483,5607,1736
6483,5575,1727
6483,5550,1705
6483,5638,1755
6483,5646,1696
6483,5585,1713
6483,5586,1770
6483,5605,1723
6483,5626,1707
6483,5616,1731
6483,5594,1806
6483,5617,1741
6483,5635,1736
6483,5605,1739
6483,5593,1742
6483,5578,1670
6483,5601,1746
6483,5589,1741
6483,5625,1805
6483,5608,1729
6483,5614,1724
6483,5651,1770
6483,5606,1739
6483,5593,1796
6483,5607,1715
6483,5673,1724
6483,5639,1754
6483,5618,1765
6483,5621,1748
6483,5622,1738
6483,5585,1766
6483,5596,1740
6483,5621,1689
6483,5573,1716
6483,5582,1738
6483,5621,1760
6483,5601,1732
6483,5624,1737
6483,5611,1791
6483,5605,1692
6483,5653,1766
6483,5605,1730
6483,5633,1714
6483,5622,1768
6483,5625,1732
6483,5645,1709
6483,5596,1699
6483,5607,1754
6483,5640,1670
6483,5595,1693
6483,5631,1782
6483,5653,1744
6483,5575,1723
6483,5585,1713
6483,5644,1744
6483,5628,1727
6483,5577,1700
6483,5613,1760
6483,5628,1773
6483,5621,1740
6483,5647,1692
6483,5634,1653
6483,5584,1676
6483,5597,1762
6483,5672,1740
6483,5619,1734
6483,5617,1741
6483,5655,1757
6483,5618,1745
6483,5576,1760
6483,5621,1765
6483,5608,1734
6483,5642,1734
6483,5598,1727
6483,5592,1677
6483,5623,1675
6483,5629,1717
6483,5600,1694
6483,5662,1691
6483,5612,1747
6483,5617,1731
6483,5569,1734
6483,5636,1726
6483,5644,1693
6483,5622,1759
6483,5591,1714
6483,5617,1697
6483,5614,1680
6483,5642,1773
6483,5582,1773
6483,5605,1724
6483,5624,1784
6483,5593,1779
6483,5594,1741
6483,5652,1740
6483,5648,1742
6483,5622,1720
6483,5594,1686
6483,5610,1651
6483,5560,1737
6483,5610,1805
6483,5575,1701
6483,5654,1738
6483,5627,1750
6483,5588,1661
6483,5607,1714
6483,5676,1757
6483,5621,1660
6483,5550,1787
6483,5622,1734
6483,5589,1754
6483,5605,1736
6483,5647,1754
6483,5580,1701
6483,5589,1745
6483,5581,1745
6483,5573,1758
6483,5628,1729
6483,5573,1723
6483,5673,1719
6483,5680,1754
6483,5609,1749
6483,5643,1703
6483,5591,1700
6483,5644,1702
6483,5654,1757
6483,5601,1693
6483,5638,1686
6483,5620,1736
6483,5651,1709
6483,5603,1750
6483,5601,1789
6483,5608,1718
6483,5615,1727
6483,5622,1744
6483,5562,1753
6483,5657,1709
6483,5663,1753
6483,5605,1739
6483,5614,1772
6483,5661,1679
6483,5567,1786
6483,5642,1702
6483,5636,1740
6483,5617,1733
6483,5586,1690
6483,5589,1675
6483,5625,1755
6483,5638,1705
6483,5567,1734
6483,5640,1779
6483,5595,1799
6483,5586,1765
6483,5575,1722
6483,5560,1699
6483,5620,1739
6483,5607,1783
6483,5611,1699
6483,5688,1706
6483,5609,1762
6483,5652,1726
6483,5605,1737
6483,5645,1762
6483,5593,1744
6483,5597,1771
6483,5559,1756
6483,5641,1739
6483,5648,1733
6483,5613,1726
6483,5593,1736
6483,5614,1719
6483,5647,1745
6483,5583,1775
6483,5601,1721
6483,5615,1724
6483,5582,1718
6483,5652,1718
6483,5575,1773
6483,5638,1691
6483,5613,1730
6483,5622,1634
6483,5616,1763
6483,5601,1727
6483,5603,1709
6483,5594,1742
6483,5643,1727
6483,5638,1772
6483,5586,1682
6483,5636,1763
6483,5603,1656
6483,5631,1708
6483,5613,1719
6483,5617,1753
6483,5571,1679
6483,5613,1734
6483,5623,1721
6483,5632,1727
6483,5619,1746
6483,5545,1703
6483,5614,1732
6483,5585,1708
6483,5632,1742
6483,5644,1736
6483,5592,1736
6483,5549,1726
6483,5634,1718
6483,5603,1760
6483,5624,1777
6483,5649,1736
6483,5577,1758
6483,5626,1705
6483,5589,1689
6483,5601,1707
6483,5584,1775
6483,5624,1726
6483,5613,1734
6483,5597,1703
6483,5593,1711
6483,5596,1658
6483,5583,1719
6483,5607,1794
6483,5603,1727
6483,5608,1734
6483,5633,1727
6483,5641,1719
6483,5617,1802
6483,5622,1711
6483,5625,1738
6483,5601,1746
6483,5599,1720
6483,5608,1762
6483,5574,1756
6483,5603,1757
6483,5559,1733
6483,5604,1749
6483,5579,1690
6483,5641,1743
6483,5602,1736
6483,5684,1747
6483,5581,1693
6483,5624,1717
6483,5642,1784
6483,5593,1746
6483,5647,1734
6483,5620,1720
6483,5622,1779
6483,5588,1730
6483,5570,1691
6483,5658,1759
6483,5657,1691
6483,5610,1711
6483,5611,1717
6483,5660,1718
6483,5641,1755
6483,5653,1735
6483,5662,1790
6483,5634,1726
6483,5611,1697
6483,5602,1714
6483,5624,1790
6483,5591,1733
6483,5596,1789
6483,5617,1711
6483,5643,1723
6483,5579,1743
6483,5661,1759
6483,5621,1719
6483,5617,1662
6483,5629,1712
6483,5603,1659
6483,5625,1723
6483,5613,1757
6483,5596,1746
6483,5621,1670
6483,5580,1799
6483,5594,1734
6483,5570,1707
6483,5662,1724
6483,5642,1745
6483,5602,1664
6483,5592,1708
6483,5587,1723
6483,5583,1752
6483,5660,1715
6483,5613,1722
6483,5671,1779
6483,5626,1752
6483,5627,1694
6483,5597,1777
6483,5582,1716
6483,5616,1843
6483,5542,1707
6483,5608,1752
6483,5635,1687
6483,5596,1704
6483,5635,1752
6483,5643,1754
6483,5606,1717
6483,5586,1764
6483,5583,1765
6483,5631,1681
6483,5659,1719
6483,5629,1742
6483,5599,1669
6483,5633,1760
6483,5609,1718
6483,5636,1707
6483,5604,1716
6483,5605,1751
6483,5589,1764
6483,5648,1771
6483,5573,1724
6483,5658,1730
6483,5557,1770
6483,5617,1715
6483,5608,1708
6483,5600,1684
6483,5628,1713
6483,5621,1739
6483,5644,1742
6483,5625,1728
6483,5605,1730
6483,5651,1713
6483,5586,1713
6483,5604,1718
6483,5621,1740
6483,5544,1731
6483,5599,1690
6483,5574,1735
6483,5594,1709
6483,5571,1676
6483,5565,1740
6483,5598,1750
6483,5558,1757
6483,5612,1653
6483,5611,1697
6483,5593,1694
6483,5595,1770
6483,5603,1718
6483,5611,1726
6483,5593,1705
6483,5592,1755
6483,5572,1748
6483,5624,1739
6483,5595,1753
6483,5562,1680
6483,5626,1783
6483,5602,1695
6483,5617,1741
6483,5612,1753
6483,5574,1750
6483,5601,1746
6483,5605,1737
6483,5657,1740
6483,5591,1718
6483,5607,1736
6483,5647,1740
6483,5627,1678
6483,5625,1757
6483,5583,1682
6483,5618,1757
6483,5627,1725
6483,5622,1725
6483,5580,1724
6483,5617,1806
6483,5590,1742
6483,5604,1703
6483,5617,1739
6483,5636,1701
6483,5573,1761
6483,5604,1751
6483,5625,1765
6483,5624,1686
6483,5600,1752
6483,5599,1748
6483,5596,1720
6483,5600,1784
