identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
968,841,461
968,848,431
968,861,427
968,842,439
968,851,443
968,858,440
968,856,454
968,858,458
968,863,440
968,860,466
968,855,438
968,872,442
968,875,435
968,868,457
968,851,447
968,857,426
968,869,442
968,855,428
968,869,426
968,863,432
968,857,463
968,854,448
968,862,452
968,854,452
968,856,444
968,863,419
968,864,434
968,868,449
968,872,447
968,858,442
968,865,459
968,855,463
968,839,448
968,856,439
968,858,450
968,874,455
968,845,474
968,868,443
968,872,457
968,853,436
968,857,450
968,855,458
968,867,431
968,838,443
968,870,434
968,866,466
968,874,455
968,860,436
968,856,444
968,859,439
968,843,451
968,871,447
968,851,453
968,859,460
968,848,450
968,862,436
968,842,447
968,873,449
968,866,448
968,864,432
968,857,460
968,848,422
968,859,440
968,848,436
968,865,446
968,853,426
968,864,439
968,869,477
968,854,426
968,852,437
968,853,432
968,857,434
968,850,453
968,869,431
968,860,458
968,850,450
968,856,457
968,867,455
968,858,452
968,874,432
968,859,441
968,846,467
968,853,436
968,870,445
968,877,441
968,853,453
968,860,440
968,864,445
968,864,457
968,856,450
968,864,425
968,842,465
968,864,446
968,867,424
968,866,445
968,862,461
968,860,450
968,849,459
968,861,432
968,860,426
968,855,415
968,865,440
968,861,455
968,863,440
968,858,443
968,850,447
968,849,438
968,866,431
968,850,437
968,865,446
968,870,435
968,867,451
968,844,431
968,857,449
968,856,457
968,861,441
968,858,440
968,852,463
968,843,432
968,853,448
968,870,449
968,863,425
968,879,460
968,848,435
968,859,451
968,855,466
968,842,462
968,874,430
968,879,451
968,866,453
968,843,457
968,858,435
968,863,435
968,844,441
968,872,435
968,863,460
968,853,440
968,867,443
968,847,428
968,862,457
968,865,460
968,851,436
968,857,443
968,843,441
968,831,445
968,885,465
968,852,446
968,866,458
968,857,438
968,850,426
968,869,449
968,866,441
968,849,483
968,863,459
968,859,447
968,856,433
968,872,460
968,860,435
968,864,439
968,876,447
968,863,454
968,838,411
