identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
5794,4743,2759
5794,4705,2821
5794,4676,2763
5794,4727,2827
5794,4630,2875
5794,4690,2765
5794,4656,2857
5794,4695,2824
5794,4750,2846
5794,4697,2825
5794,4716,2878
5794,4758,2862
5794,4665,2736
5794,4706,2806
5794,4686,2777
5794,4730,2733
5794,4666,2769
5794,4683,2827
5794,4681,2843
5794,4667,2806
5794,4691,2808
5794,4672,2767
5794,4695,2844
5794,4703,2797
5794,4751,2804
5794,4678,2740
5794,4689,2755
5794,4677,2732
5794,4699,2770
5794,4731,2797
5794,4685,2791
5794,4702,2768
5794,4733,2837
5794,4720,2852
5794,4707,2766
5794,4724,2774
5794,4732,2762
5794,4683,2782
5794,4633,2801
5794,4712,2788
5794,4681,2834
5794,4713,2798
5794,4701,2899
5794,4688,2789
5794,4647,2885
5794,4756,2816
5794,4669,2801
5794,4689,2812
5794,4667,2834
5794,4688,2800
5794,4664,2851
5794,4701,2789
5794,4734,2865
5794,4745,2846
5794,4680,2790
5794,4660,2854
5794,4637,2852
5794,4710,2743
5794,4699,2749
5794,4782,2819
5794,4769,2806
5794,4694,2834
5794,4674,2779
5794,4677,2844
5794,4686,2863
5794,4750,2793
5794,4718,2815
5794,4689,2819
5794,4645,2833
5794,4747,2914
5794,4696,2816
5794,4687,2802
5794,4666,2777
5794,4679,2811
5794,4668,2741
5794,4664,2827
5794,4676,2853
5794,4657,2803
5794,4721,2806
5794,4734,2791
5794,4677,2856
5794,4656,2829
5794,4724,2824
5794,4696,2821
5794,4702,2833
5794,4718,2811
5794,4675,2893
5794,4713,2760
5794,4695,2760
5794,4703,2835
5794,4736,2744
5794,4691,2912
5794,4698,2770
5794,4726,2769
5794,4706,2845
5794,4737,2800
5794,4703,2847
5794,4724,2825
5794,4743,2807
5794,4667,2814
5794,4629,2767
5794,4713,2768
5794,4713,2779
5794,4752,2774
5794,4710,2793
5794,4691,2852
5794,4704,2820
5794,4716,2836
5794,4711,2791
5794,4748,2736
5794,4698,2790
5794,4715,2857
5794,4708,2757
5794,4696,2839
5794,4696,2810
5794,4694,2785
5794,4713,2800
5794,4684,2791
5794,4687,2809
5794,4691,2784
5794,4620,2847
5794,4695,2879
5794,4697,2776
5794,4702,2802
5794,4746,2809
5794,4675,2740
5794,4716,2803
5794,4723,2831
5794,4709,2856
5794,4700,2786
5794,4708,2819
5794,4695,2814
5794,4697,2832
5794,4676,2751
5794,4704,2793
5794,4714,2864
5794,4766,2798
5794,4752,2803
5794,4712,2820
5794,4677,2848
5794,4694,2783
5794,4763,2797
5794,4659,2783
5794,4652,2765
5794,4718,2832
5794,4741,2779
5794,4680,2740
5794,4712,2789
5794,4723,2788
5794,4677,2822
5794,4722,2823
5794,4755,2850
5794,4745,2828
5794,4691,2815
5794,4723,2803
5794,4685,2846
5794,4720,2846
5794,4723,2783
5794,4635,2789
5794,4671,2812
5794,4706,2742
5794,4673,2782
5794,4713,2763
5794,4720,2814
5794,4696,2841
5794,4766,2792
5794,4684,2804
5794,4686,2807
5794,4639,2797
5794,4702,2835
5794,4729,2845
5794,4683,2832
5794,4729,2758
5794,4714,2799
5794,4684,2803
5794,4689,2797
5794,4713,2800
5794,4744,2773
5794,4736,2820
5794,4755,2825
5794,4656,2884
5794,4672,2811
5794,4746,2791
5794,4730,2829
5794,4678,2839
5794,4734,2812
5794,4729,2810
5794,4629,2763
5794,4692,2737
5794,4714,2799
5794,4745,2853
5794,4714,2820
5794,4739,2822
5794,4645,2828
5794,4670,2746
5794,4742,2807
5794,4689,2777
5794,4716,2839
5794,4673,2771
5794,4709,2790
5794,4651,2797
5794,4713,2790
5794,4739,2784
5794,4710,2796
5794,4762,2793
5794,4723,2788
5794,4664,2779
5794,4683,2765
5794,4662,2767
5794,4688,2831
5794,4702,2760
5794,4680,2761
5794,4726,2816
5794,4648,2809
5794,4699,2786
5794,4693,2759
5794,4656,2818
5794,4761,2818
5794,4735,2791
5794,4701,2744
5794,4693,2818
5794,4709,2800
5794,4665,2827
5794,4678,2794
5794,4727,2842
5794,4706,2811
5794,4751,2814
5794,4760,2800
5794,4725,2757
5794,4690,2792
5794,4713,2798
5794,4749,2816
5794,4705,2827
5794,4735,2823
5794,4727,2774
5794,4675,2741
5794,4730,2790
5794,4705,2806
5794,4720,2843
5794,4704,2777
5794,4732,2743
5794,4711,2804
5794,4694,2843
5794,4748,2796
5794,4686,2811
5794,4693,2775
5794,4687,2772
5794,4684,2789
5794,4681,2734
5794,4667,2794
5794,4694,2790
5794,4709,2785
5794,4672,2831
