identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
15537,13432,7381
15537,13405,7408
15537,13251,7250
15537,13372,7286
15537,13403,7354
15537,13305,7306
15537,13395,7405
15537,13385,7318
15537,13346,7308
15537,13347,7310
15537,13391,7258
15537,13290,7276
15537,13323,7269
15537,13440,7280
15537,13373,7293
15537,13392,7315
15537,13345,7255
15537,13277,7191
15537,13397,7325
15537,13322,7268
15537,13324,7267
15537,13311,7356
15537,13366,7187
15537,13381,7326
15537,13352,7292
15537,13360,7331
15537,13358,7188
15537,13461,7377
15537,13294,7304
15537,13381,7345
15537,13375,7222
15537,13367,7389
15537,13312,7263
15537,13346,7295
15537,13249,7280
15537,13316,7371
15537,13351,7356
15537,13405,7289
15537,13373,7271
15537,13382,7171
15537,13314,7230
15537,13354,7312
15537,13389,7368
15537,13328,7404
15537,13326,7361
15537,13391,7304
15537,13362,7393
15537,13377,7329
15537,13351,7372
15537,13346,7239
15537,13340,7193
15537,13395,7419
15537,13410,7212
15537,13333,7257
15537,13281,7331
15537,13324,7348
15537,13307,7310
15537,13397,7212
15537,13403,7294
15537,13394,7377
15537,13360,7322
15537,13335,7243
15537,13333,7351
15537,13373,7321
15537,13364,7197
15537,13343,7282
15537,13379,7425
15537,13299,7276
15537,13321,7288
15537,13336,7274
15537,13356,7285
15537,13324,7344
15537,13298,7354
15537,13313,7251
15537,13405,7280
15537,13311,7349
15537,13362,7278
15537,13426,7322
15537,13391,7376
15537,13418,7309
15537,13358,7356
15537,13412,7329
15537,13373,7337
15537,13365,7318
15537,13306,7227
15537,13368,7200
15537,13414,7273
15537,13390,7224
15537,13414,7235
15537,13304,7335
15537,13362,7211
15537,13322,7309
15537,13405,7463
15537,13398,7262
15537,13340,7395
15537,13388,7291
15537,13359,7243
15537,13340,7302
15537,13354,7323
15537,13345,7282
15537,13402,7300
15537,13390,7299
15537,13399,7354
15537,13310,7400
15537,13426,7284
15537,13404,7328
15537,13358,7264
15537,13369,7334
