identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
89365,83634,65857
89365,83767,65895
89365,83892,65964
89365,83739,65865
89365,83704,65752
89365,83837,65804
89365,83756,65832
89365,83813,65798
89365,83820,65921
89365,83678,65619
89365,83720,65860
89365,83762,66023
89365,83836,66031
89365,83680,66084
89365,83766,65854
89365,83775,65981
89365,83670,65894
89365,83723,65954
89365,83802,65845
89365,83786,65574
89365,83796,65960
89365,83816,65868
89365,83840,65982
89365,83777,65817
89365,83876,66041
89365,83739,66111
89365,83808,65879
89365,83667,65881
89365,83706,65956
89365,83668,65902
89365,83636,65671
89365,83809,65774
89365,83697,66012
89365,83796,66012
89365,83776,65686
89365,83735,65935
89365,83770,65738
89365,83745,65972
89365,83764,65965
89365,83923,66123
89365,83685,65710
89365,83811,65849
89365,83761,65967
89365,83862,65914
89365,83695,65739
89365,83797,66087
89365,83747,65738
89365,83806,65599
89365,83808,65832
89365,83780,65937
89365,83843,65765
89365,83700,65791
89365,83806,65663
89365,83837,65783
89365,83636,65685
89365,83723,65861
89365,83758,65815
89365,83813,65833
89365,83856,65696
89365,83756,65924
89365,83737,65599
89365,83795,65693
89365,83825,65761
89365,83738,65793
89365,83831,65761
89365,83753,65675
89365,83802,65788
89365,83747,65869
89365,83637,65764
89365,83778,65591
89365,83784,65837
89365,83888,65795
89365,83677,65856
89365,83817,65572
89365,83760,65971
89365,83810,65913
89365,83746,65934
89365,83833,65852
89365,83683,65809
89365,83756,66028
89365,83877,65963
89365,83868,65753
89365,83632,65854
89365,83846,65805
89365,83753,65706
89365,83710,65716
89365,83730,65885
89365,83783,65917
89365,83763,65917
89365,83873,65863
89365,83690,65884
89365,83755,65869
89365,83663,65844
89365,83691,65789
89365,83732,65674
89365,83762,65873
89365,83799,65599
89365,83811,65896
89365,83760,66162
89365,83754,65547
89365,83785,65810
89365,83673,66051
89365,83630,65710
89365,83843,65843
89365,83818,65800
89365,83639,65909
89365,83890,65881
89365,83829,66073
89365,83852,65897
89365,83685,65700
89365,83687,65970
89365,83706,65729
89365,83804,65922
89365,83768,65802
89365,83844,65645
89365,83887,65559
89365,83953,65867
89365,83782,65998
89365,83714,65952
89365,83732,65990
89365,83866,65901
89365,83927,65796
89365,83745,66061
89365,83748,66040
89365,83875,65840
89365,83680,65802
89365,83816,65735
89365,83823,66007
89365,83792,65805
89365,83897,65998
89365,83913,65961
89365,83727,65884
89365,83688,65604
89365,83899,65937
89365,83873,65765
89365,83759,65593
89365,83738,65632
89365,83823,65799
89365,83902,65849
89365,83775,65820
89365,83777,65728
89365,83705,65860
89365,83829,65843
89365,83780,66005
89365,83713,65822
89365,83822,65968
89365,83754,65834
89365,83853,65683
89365,83783,65899
89365,83833,66077
89365,83795,66019
89365,83793,65693
89365,83837,65790
89365,83746,65812
89365,83687,65992
89365,83833,65713
89365,83788,65616
89365,83824,66007
89365,83800,65658
89365,83848,65947
89365,83772,65746
89365,83751,65942
89365,83707,65881
89365,83776,65761
89365,83743,65657
89365,83845,65777
89365,83787,65884
89365,83791,65739
89365,83727,65957
89365,83683,65904
89365,83825,65898
89365,83861,66101
89365,83777,65810
89365,83962,65874
89365,83759,65914
89365,83745,66024
89365,83629,65915
89365,83772,65880
89365,83716,65808
89365,83779,65799
89365,83809,65693
89365,83869,65840
89365,83866,65866
89365,83787,65490
89365,83875,65946
89365,83833,65957
89365,83715,65861
89365,83855,65780
89365,83816,65801
89365,83752,65873
89365,83931,65950
89365,83705,65925
89365,83685,65877
89365,83799,65844
89365,83748,65804
89365,83815,65890
89365,83775,65850
89365,83794,65676
89365,83659,65981
89365,83787,65760
89365,83878,65721
89365,83712,65653
89365,83786,65805
89365,83732,65683
89365,83856,65971
89365,83841,65571
89365,83781,65763
89365,83877,65751
89365,83667,65959
89365,83729,65688
89365,83817,65674
89365,83734,66008
89365,83685,65710
89365,83823,65811
89365,83780,66039
89365,83774,65897
89365,83815,65990
89365,83795,65594
89365,83729,65932
89365,83760,65804
89365,83840,65947
89365,83817,65724
89365,83739,65879
89365,83941,65752
89365,83734,65913
89365,83838,65827
89365,83836,65724
89365,83684,65925
89365,83733,65841
89365,83746,65896
89365,83642,65733
89365,83812,65888
89365,83699,65944
89365,83727,65863
89365,83819,65966
89365,83849,65831
89365,83861,65713
89365,83827,65875
89365,83726,65806
89365,83837,65791
89365,83800,65759
89365,83816,65886
89365,83740,65752
89365,83696,65981
89365,83894,66018
89365,83639,65669
89365,83697,65925
89365,83877,65829
89365,83744,65989
89365,83673,65662
89365,83766,65918
89365,83832,65624
89365,83818,65742
89365,83882,65981
89365,83745,65806
89365,83745,65786
89365,83679,65914
89365,83656,65952
89365,83821,65649
89365,83738,65895
89365,83646,65733
89365,83793,65897
89365,83883,66080
89365,83756,66088
89365,83832,66053
89365,83774,65694
89365,83828,65914
89365,83754,65679
89365,83620,65981
89365,83727,65775
89365,83674,65987
89365,83746,65822
89365,83799,65744
89365,83781,65892
89365,83725,65723
89365,83799,65893
89365,83750,65828
89365,83873,65885
89365,83824,65823
89365,83799,65744
89365,83737,65902
89365,83832,65939
89365,83780,65862
89365,83777,65884
89365,83705,65821
89365,83762,65885
89365,83780,65945
89365,83737,65699
89365,83790,65730
89365,83783,65997
89365,83765,65907
89365,83808,65993
89365,83706,65882
89365,83821,65864
89365,83791,65854
89365,83827,65943
89365,83808,65878
89365,83646,66037
89365,83837,65919
89365,83818,65860
89365,83660,65747
89365,83816,66057
89365,83899,65681
89365,83739,65933
89365,83675,66002
89365,83673,65618
89365,83790,65798
89365,83788,66011
89365,83853,65747
89365,83827,65760
89365,83678,65875
89365,83729,65742
89365,83800,65822
89365,83878,65642
89365,83737,65896
89365,83730,65851
89365,83878,66025
89365,83772,66072
89365,83808,65847
89365,83667,65889
89365,83720,65895
89365,83786,65833
89365,83777,65717
89365,83857,65868
89365,83764,65834
89365,83721,65604
89365,83832,65929
89365,83712,65682
89365,83809,65942
89365,83715,65954
89365,83681,65886
89365,83759,65746
89365,83845,65796
89365,83836,65763
89365,83805,65725
89365,83764,65984
89365,83868,65917
89365,83852,66187
89365,83880,65767
89365,83705,65661
89365,83846,65733
89365,83826,66018
89365,83816,66063
89365,83946,65765
89365,83787,65914
89365,83865,65867
89365,83827,65612
89365,83883,66110
89365,83779,65839
89365,83892,65929
89365,83803,65928
89365,83809,65811
89365,83742,65874
89365,83711,65840
89365,83701,65894
89365,83678,66090
89365,83820,65669
89365,83801,66016
89365,83822,65767
89365,83840,65775
89365,83913,65753
89365,83897,65865
89365,83852,65803
89365,83664,65863
89365,83683,66031
89365,83833,65861
89365,83767,65663
89365,83773,66005
89365,83893,65747
89365,83729,65645
89365,83753,65921
89365,83789,65768
89365,83741,65934
89365,83863,65960
89365,83852,65622
89365,83783,65969
89365,83668,66079
89365,83893,65783
89365,83767,65874
89365,83782,65922
89365,83739,65888
89365,83804,65588
89365,83807,66134
89365,83795,65880
89365,83683,65703
89365,83833,65861
89365,83770,65820
89365,83750,65844
89365,83794,65704
89365,83678,65918
89365,83909,65732
89365,83887,65863
89365,83867,65826
89365,83753,65712
89365,83732,65767
89365,83664,65802
89365,83807,65788
89365,83710,66030
89365,83889,65986
89365,83709,65709
89365,83810,65643
89365,83830,65750
89365,83783,65946
89365,83778,65763
89365,83770,65915
89365,83664,65762
89365,83712,65841
89365,83796,65957
89365,83771,65873
89365,83853,65784
89365,83693,66042
89365,83693,66075
89365,83856,65857
89365,83871,66014
89365,83729,66024
89365,83797,65925
89365,83805,65777
89365,83734,65810
89365,83640,65530
89365,83782,65792
89365,83837,65982
89365,83840,65952
89365,83888,65772
89365,83763,65727
89365,83756,65832
89365,83777,65900
89365,83702,65817
89365,83776,65905
89365,83645,65868
89365,83803,65854
89365,83794,65935
89365,83871,65778
89365,83730,65747
89365,83831,65776
89365,83815,66127
89365,83769,65863
89365,83872,65897
89365,83722,65822
89365,83771,65822
89365,83959,65985
89365,83783,65865
89365,83640,65901
89365,83878,65872
89365,83780,65835
89365,83789,65849
89365,83710,65741
89365,83913,65931
89365,83677,65945
89365,83749,65821
89365,83804,65764
89365,83535,65616
89365,83712,66006
89365,83917,65775
89365,83776,65840
89365,83828,65709
89365,83870,66024
89365,83751,65918
89365,83815,65817
89365,83823,65760
89365,83681,65661
89365,83883,65977
89365,83799,65854
89365,83825,65912
89365,83780,65982
89365,83659,65911
89365,83754,65927
89365,83803,65932
89365,83781,65838
89365,83748,66024
89365,83760,65755
89365,83657,65741
89365,83668,65570
89365,83748,65866
89365,83784,65805
89365,83811,65917
89365,83724,65789
89365,83832,65880
89365,83759,65911
89365,83729,65815
89365,83761,65798
89365,83843,65719
89365,83766,65866
89365,83761,65695
89365,83742,65901
89365,83721,65802
89365,83704,65688
89365,83822,65681
89365,83757,65800
89365,83827,65954
89365,83771,65715
89365,83837,65795
89365,83747,65666
89365,83760,65826
89365,83713,65900
89365,83925,65737
89365,83732,65819
89365,83745,65779
89365,83755,65972
89365,83894,65560
89365,83787,66065
89365,83630,65889
89365,83684,65781
89365,83870,65912
89365,83768,65743
89365,83781,65840
89365,83888,65745
89365,83759,65679
89365,83784,65699
89365,83791,65864
89365,83731,65898
89365,83657,65822
89365,83758,65981
89365,83778,65717
89365,83690,66044
89365,83840,65989
89365,83871,65751
89365,83744,66046
89365,83770,65964
89365,83776,65847
89365,83763,65805
89365,83734,66076
89365,83690,65981
89365,83795,65797
89365,83856,66034
89365,83782,65904
89365,83894,65670
89365,83803,65930
89365,83775,66080
89365,83864,65966
89365,83835,65830
89365,83740,65863
89365,83706,65842
89365,83823,66013
89365,83702,65809
89365,83836,65798
89365,83748,66041
89365,83841,66079
89365,83768,65699
89365,83787,65714
89365,83784,65980
89365,83657,65672
89365,83825,66073
89365,83734,65884
89365,83786,65808
89365,83716,65947
89365,83758,65874
89365,83901,65839
89365,83951,65769
89365,83835,65807
89365,83798,65882
89365,83718,65907
89365,83705,65830
89365,83740,65873
89365,83772,65965
89365,83720,66006
89365,83801,65728
89365,83843,65863
89365,83746,65670
89365,83752,65704
89365,83800,65828
89365,83765,65892
89365,83747,65759
89365,83699,65640
89365,83659,65784
89365,83643,65822
89365,83924,65648
89365,83822,65677
89365,83884,65900
89365,83626,65792
89365,83783,65912
89365,83800,65971
89365,83775,66023
89365,83790,65925
89365,83778,65674
89365,83811,65842
89365,83830,65888
89365,83915,65896
89365,83822,65632
89365,83761,65918
89365,83810,65808
89365,83777,65755
89365,83764,65829
89365,83783,65714
89365,83795,66089
89365,83860,65934
89365,83773,66014
89365,83838,66020
89365,83762,66006
89365,83729,65897
89365,83705,66014
89365,83785,65877
89365,83782,65879
89365,83856,65585
89365,83812,65746
89365,83835,65729
89365,83801,66019
89365,83773,65854
89365,83718,65773
89365,83620,65746
89365,83822,65904
89365,83698,65716
89365,83729,65894
89365,83800,65686
89365,83736,65675
89365,83680,65849
89365,83721,66009
89365,83920,66048
89365,83649,65964
89365,83803,65681
89365,83739,65790
89365,83744,65900
89365,83813,65857
89365,83697,65872
89365,83795,65625
89365,83731,65689
89365,83732,65874
89365,83706,66004
89365,83792,65941
89365,83685,65836
89365,83881,66026
89365,83752,65944
89365,83706,65599
89365,83687,65814
89365,83930,65811
89365,83842,65763
89365,83830,65850
89365,83874,65727
89365,83774,65935
89365,83710,65930
89365,83863,66006
89365,83723,65900
89365,83879,65901
89365,83790,65665
89365,83918,66066
89365,83755,65650
89365,83860,65966
89365,83731,66055
89365,83831,65786
89365,83709,65793
89365,83809,65906
89365,83768,65928
89365,83729,65990
89365,83818,65826
89365,83705,65961
89365,83759,65942
89365,83821,65778
89365,83766,65997
89365,83854,65818
89365,83765,65840
89365,83794,65950
89365,83760,65941
89365,83746,65995
89365,83699,65894
89365,83794,65909
89365,83774,65845
89365,83863,65851
89365,83861,66062
89365,83854,65836
89365,83861,65878
89365,83708,65757
89365,83701,65852
89365,83817,65826
89365,83863,65935
89365,83839,65657
89365,83780,65944
89365,83744,65647
89365,83783,65756
89365,83801,65655
89365,83743,65730
89365,83798,65733
89365,83799,65920
89365,83734,65828
89365,83743,65719
89365,83716,65872
89365,83885,65889
89365,83687,65854
89365,83771,65948
89365,83762,65889
89365,83749,65706
89365,83906,65757
89365,83686,65644
89365,83747,65743
89365,83759,66026
89365,83806,65791
89365,83928,65769
89365,83700,65840
89365,83845,65746
89365,83706,65870
89365,83720,65986
89365,83694,65795
89365,83710,65953
89365,83624,65759
89365,83836,65894
89365,83658,65921
89365,83795,65849
89365,83769,65833
89365,83699,65982
89365,83838,65790
89365,83821,65682
89365,83825,65835
89365,83807,66124
89365,83865,65724
89365,83782,66113
89365,83734,65805
89365,83889,65769
89365,83814,65701
89365,83603,65653
89365,83802,65930
89365,83822,65739
89365,83776,65801
89365,83657,65546
89365,83838,65760
89365,83846,65893
89365,83866,65876
89365,83832,65883
89365,83788,65978
89365,83729,65778
89365,83743,65980
89365,83754,65913
89365,83755,65781
89365,83754,65901
89365,83877,65860
89365,83828,65716
89365,83735,65916
89365,83753,65946
89365,83846,65770
89365,83781,65992
89365,83770,65737
89365,83691,65903
89365,83789,65631
89365,83834,65876
89365,83958,65920
89365,83792,65874
89365,83748,66041
89365,83760,65753
89365,83864,65776
89365,83739,65825
89365,83928,65778
89365,83785,66030
89365,83834,65709
89365,83675,65837
89365,83728,65762
89365,83807,65950
89365,83831,65764
89365,83778,66016
89365,83855,65639
89365,83694,65743
89365,83780,66015
89365,83894,66032
89365,83797,65865
89365,83765,65832
89365,83826,66028
89365,83911,65963
89365,83748,65707
89365,83712,65980
89365,83640,66024
89365,83668,66042
89365,83726,65799
89365,83851,65943
89365,83887,65866
89365,83765,65847
89365,83801,65904
89365,83755,65793
89365,83777,65811
89365,83779,65974
89365,83758,66165
89365,83830,65630
89365,83603,65919
89365,83663,65857
89365,83893,65891
89365,83753,65759
89365,83830,65681
89365,83735,65955
89365,83730,65664
89365,83794,65754
89365,83829,65958
89365,83878,65749
89365,83759,65989
89365,83712,65987
89365,83796,65943
89365,83774,65842
89365,83752,65729
89365,83661,65795
89365,83733,65921
89365,83949,66075
89365,83931,66001
89365,83829,65613
89365,83698,65844
89365,83696,66024
89365,83837,65822
89365,83712,65915
89365,83751,65979
89365,83700,65903
89365,83820,65818
89365,83924,65835
89365,83849,65724
89365,83789,65861
89365,83726,65900
89365,83847,65952
89365,83628,65907
89365,83837,65861
89365,83762,65741
89365,83746,65809
89365,83796,65780
89365,83675,66012
89365,83731,65795
89365,83784,65736
89365,83782,65708
89365,83919,66052
89365,83765,65848
89365,83850,65873
89365,83697,65817
89365,83722,65844
89365,83858,65832
89365,83847,65893
89365,83803,65953
89365,83810,66019
89365,83774,65856
89365,83776,65996
89365,83742,65730
89365,83832,65840
89365,83605,65886
89365,83751,65905
89365,83707,65869
89365,83804,65749
89365,83847,65766
89365,83835,65835
89365,83732,65899
89365,83778,65781
89365,83736,65900
89365,83785,65622
89365,83854,66059
89365,83696,65917
89365,83747,65901
89365,83868,65920
89365,83715,65749
89365,83750,65729
89365,83832,65957
89365,83746,65717
89365,83660,65835
89365,83787,65997
89365,83864,65901
89365,83775,65995
89365,83708,65949
89365,83736,65727
89365,83851,65726
89365,83962,65813
89365,83759,65906
89365,83675,65985
89365,83799,65722
89365,83729,66017
89365,83745,65841
89365,83805,65943
89365,83765,65911
89365,83811,65676
89365,83682,66016
89365,83800,65818
89365,83809,65972
89365,83803,65740
89365,83795,65521
89365,83767,65953
89365,83806,65881
89365,83726,65772
89365,83770,66012
89365,83824,66077
89365,83587,65984
89365,83802,65906
89365,83715,65795
89365,83771,65705
89365,83887,65934
89365,83650,65911
89365,83836,65827
89365,83811,66060
89365,83784,65923
89365,83698,66040
89365,83920,65784
89365,83923,65764
89365,83846,65935
89365,83686,65883
89365,83759,65901
89365,83705,65647
89365,83746,65918
89365,83941,65845
89365,83773,65725
89365,83679,65840
89365,83608,65792
89365,83879,65840
89365,83863,65846
89365,83750,65790
89365,83739,66142
89365,83785,65772
89365,83791,65808
89365,83764,65756
89365,83662,65824
89365,83860,66010
89365,83703,65858
89365,83801,66100
89365,83789,65889
89365,83819,65889
89365,83754,65860
89365,83739,65838
89365,83754,66097
89365,83728,65913
89365,83713,65810
89365,83780,65613
89365,83661,65844
89365,83818,65761
89365,83820,65992
89365,83882,65831
89365,83873,65673
89365,83807,65710
89365,83864,65781
89365,83794,65939
89365,83704,65647
89365,83723,65867
89365,83706,65987
89365,83826,66030
89365,83779,65936
89365,83824,65997
89365,83770,65828
89365,83728,65760
89365,83770,65738
89365,83818,65899
89365,83853,65916
89365,83838,66183
89365,83784,65836
89365,83860,65857
89365,83717,65948
89365,83639,65741
89365,83714,65926
89365,83950,65841
89365,83791,65963
89365,83675,65825
89365,83680,65988
89365,83749,65745
89365,83739,65783
89365,83727,65667
89365,83762,65809
89365,83785,65747
89365,83704,65860
89365,83865,65858
89365,83802,65893
89365,83706,65778
89365,83845,66110
89365,83844,65970
89365,83802,65863
89365,83763,65792
89365,83654,65780
89365,83725,66105
89365,83753,65796
89365,83921,65670
89365,83776,65934
89365,83726,65921
89365,83933,65731
89365,83817,65794
89365,83761,65865
89365,83699,65976
89365,83873,65834
89365,83753,65812
89365,83762,65804
89365,83785,65920
89365,83808,65725
89365,83764,65869
89365,83807,65914
89365,83745,66020
89365,83779,65823
89365,83815,65761
89365,83765,65819
89365,83816,65766
89365,83940,66127
89365,83705,65922
89365,83754,66091
89365,83694,65915
89365,83832,65823
89365,83796,66017
89365,83867,65706
89365,83856,65903
89365,83791,65824
89365,83687,66122
89365,83785,65792
89365,83723,65745
89365,83753,65915
89365,83823,65598
89365,83781,65961
89365,83840,65837
89365,83725,65692
89365,83795,65816
89365,83904,65770
89365,83713,65952
89365,83764,66027
89365,83824,65800
89365,83769,65965
89365,83871,66105
89365,83853,65794
89365,83833,65798
89365,83720,65829
89365,83811,65737
89365,83707,65697
89365,83874,65758
89365,83786,65972
