identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
10780,10417,8224
10780,10421,8133
10780,10402,8160
10780,10389,8104
10780,10425,8118
10780,10418,8122
10780,10414,8203
10780,10399,8133
10780,10417,8121
10780,10419,8135
10780,10427,8176
10780,10376,8173
10780,10413,8110
10780,10397,8142
10780,10401,8062
10780,10410,8114
10780,10412,8171
10780,10407,8076
10780,10395,8151
10780,10420,8162
10780,10384,8086
10780,10408,8120
10780,10411,8127
10780,10409,8172
10780,10409,8074
10780,10385,8076
10780,10389,8163
10780,10428,8177
10780,10411,8133
10780,10428,8218
10780,10410,8131
10780,10380,8124
10780,10407,8138
10780,10418,8170
10780,10412,8188
10780,10389,8071
10780,10390,8110
10780,10417,8142
10780,10409,8160
10780,10410,8200
10780,10391,8160
10780,10392,8229
10780,10422,8192
10780,10414,8207
10780,10394,8200
10780,10407,8167
10780,10405,8117
10780,10397,8119
10780,10393,8110
10780,10412,8098
10780,10366,8126
10780,10431,8211
10780,10411,8174
10780,10389,8183
10780,10410,8157
10780,10394,8153
10780,10443,8113
10780,10420,8131
10780,10404,8190
10780,10404,8117
10780,10381,8097
10780,10409,8180
10780,10401,8162
10780,10408,8083
10780,10420,8221
10780,10407,8138
10780,10409,8124
10780,10403,8186
10780,10413,8161
10780,10403,8140
10780,10400,8160
10780,10400,8088
10780,10444,8087
10780,10423,8250
10780,10420,8106
10780,10421,8152
10780,10398,8155
10780,10385,8160
10780,10428,8113
10780,10409,8131
10780,10402,8089
10780,10418,8169
10780,10407,8177
10780,10424,8167
10780,10406,8144
10780,10399,8105
10780,10423,8111
10780,10414,8196
10780,10427,8128
10780,10415,8154
10780,10417,8112
10780,10428,8107
10780,10427,8112
10780,10432,8156
10780,10417,8148
10780,10392,8140
10780,10392,8121
10780,10414,8154
10780,10385,8125
10780,10367,8102
10780,10422,8183
10780,10398,8157
10780,10411,8093
10780,10415,8186
10780,10377,8056
10780,10374,8170
10780,10392,8151
10780,10421,8159
10780,10418,8131
10780,10414,8113
10780,10424,8088
10780,10402,8128
10780,10420,8052
10780,10414,8118
10780,10456,8091
10780,10415,8146
10780,10393,8164
10780,10401,8140
10780,10378,8184
10780,10416,8132
10780,10380,8063
10780,10370,8195
10780,10409,8133
10780,10426,8152
10780,10426,8147
10780,10390,8138
10780,10450,8139
10780,10411,8152
10780,10409,8105
10780,10401,8168
10780,10392,8119
10780,10376,8124
10780,10407,8128
10780,10395,8096
10780,10369,8080
10780,10417,8136
10780,10441,8098
10780,10384,8144
10780,10410,8133
10780,10413,8156
10780,10419,8156
10780,10410,8107
10780,10397,8080
10780,10403,8126
10780,10400,8122
10780,10394,8192
10780,10449,8028
10780,10388,8126
10780,10429,8116
10780,10397,8148
10780,10416,8041
10780,10398,8144
10780,10410,8102
10780,10395,8109
10780,10416,8058
10780,10414,8152
10780,10430,8103
10780,10409,8180
10780,10391,8149
10780,10374,8168
10780,10387,8132
10780,10395,8103
10780,10447,8111
10780,10435,8113
10780,10402,8164
10780,10394,8196
10780,10425,8130
10780,10421,8165
10780,10405,8125
10780,10387,8126
10780,10427,8085
10780,10408,8113
10780,10417,8028
10780,10395,8069
10780,10419,8176
10780,10413,8068
10780,10408,8096
10780,10448,8103
10780,10415,8143
10780,10407,8102
10780,10384,8198
10780,10406,8153
10780,10408,8094
10780,10410,8128
10780,10410,8088
10780,10386,8138
10780,10423,8077
10780,10370,8175
10780,10395,8178
10780,10416,8168
10780,10411,8090
10780,10412,8166
10780,10379,8140
10780,10433,8115
10780,10406,8158
10780,10396,8149
10780,10421,8176
10780,10400,8112
10780,10436,8150
10780,10410,8177
10780,10395,8152
10780,10456,8145
10780,10411,8144
10780,10446,8125
10780,10396,8134
10780,10414,8175
10780,10415,8128
10780,10428,8117
10780,10388,8130
10780,10388,8155
10780,10419,8150
10780,10439,8146
10780,10414,8112
10780,10409,8124
10780,10390,8160
10780,10428,8135
10780,10405,8131
10780,10407,8171
10780,10404,8135
10780,10410,8121
10780,10428,8130
10780,10387,8168
10780,10392,8136
10780,10403,8182
10780,10424,8164
10780,10413,8110
10780,10383,8154
10780,10398,8110
10780,10418,8172
10780,10390,8081
10780,10393,8108
10780,10451,8180
10780,10402,8171
10780,10421,8128
10780,10392,8131
10780,10409,8178
10780,10381,8131
10780,10403,8158
10780,10403,8102
10780,10408,8130
10780,10411,8147
10780,10388,8037
10780,10417,8113
10780,10389,8192
10780,10391,8121
10780,10423,8155
10780,10395,8130
10780,10413,8084
10780,10425,8157
10780,10435,8136
10780,10411,8167
10780,10411,8104
10780,10400,8150
10780,10416,8177
10780,10425,8198
10780,10426,8128
10780,10438,8150
10780,10421,8180
10780,10398,8189
10780,10388,8190
10780,10385,8128
10780,10403,8199
10780,10424,8178
10780,10402,8128
10780,10396,8128
10780,10422,8190
10780,10393,8186
10780,10394,8104
10780,10439,8130
10780,10369,8206
10780,10415,8216
10780,10413,8136
10780,10408,8143
10780,10427,8112
10780,10381,8188
10780,10418,8143
10780,10441,8202
10780,10399,8158
10780,10428,8171
10780,10400,8144
10780,10402,8080
10780,10438,8027
10780,10423,8179
10780,10379,8083
10780,10361,8144
10780,10393,8101
10780,10407,8204
10780,10383,8150
10780,10393,8186
10780,10421,8148
10780,10443,8209
10780,10391,8163
10780,10422,8141
10780,10377,8086
10780,10395,8100
10780,10406,8123
10780,10424,8106
10780,10434,8133
10780,10393,8188
10780,10397,8158
10780,10411,8187
10780,10411,8091
10780,10410,8110
10780,10399,8132
10780,10404,8093
10780,10395,8087
10780,10417,8115
10780,10418,8132
10780,10428,8216
10780,10414,8142
10780,10392,8168
10780,10402,8156
10780,10413,8145
10780,10408,8173
10780,10382,8199
10780,10392,8128
10780,10427,8136
10780,10387,8147
10780,10414,8161
10780,10431,8178
10780,10449,8142
10780,10436,8237
10780,10398,8112
10780,10449,8086
10780,10405,8155
10780,10395,8138
10780,10404,8228
10780,10420,8152
10780,10388,8171
10780,10409,8150
10780,10389,8193
10780,10387,8165
10780,10401,8161
10780,10414,8223
10780,10379,8134
10780,10400,8126
10780,10409,8141
10780,10369,8115
10780,10428,8119
10780,10406,8176
10780,10406,8205
10780,10412,8131
10780,10398,8202
10780,10377,8172
10780,10386,8151
10780,10408,8120
10780,10409,8113
10780,10357,8120
10780,10401,8106
10780,10422,8194
10780,10376,8182
10780,10439,8082
10780,10435,8116
10780,10400,8132
10780,10367,8174
10780,10388,8180
10780,10404,8110
10780,10428,8056
10780,10405,8164
10780,10393,8097
10780,10392,8127
10780,10406,8121
10780,10398,8166
10780,10390,8104
10780,10388,8193
10780,10411,8122
10780,10437,8120
10780,10407,8166
10780,10397,8142
10780,10417,8088
10780,10435,8101
10780,10409,8148
10780,10428,8179
10780,10422,8114
10780,10408,8182
10780,10425,8126
10780,10428,8197
10780,10410,8166
10780,10414,8146
10780,10385,8103
10780,10406,8193
10780,10410,8145
10780,10455,8155
10780,10383,8169
10780,10409,8096
10780,10411,8165
10780,10379,8166
10780,10409,8145
10780,10399,8188
10780,10424,8159
10780,10406,8179
10780,10415,8122
10780,10392,8123
10780,10391,8153
10780,10388,8126
10780,10414,8141
10780,10418,8141
10780,10412,8116
10780,10370,8144
10780,10378,8192
10780,10388,8071
10780,10390,8057
10780,10367,8126
10780,10368,8094
10780,10406,8097
10780,10397,8160
10780,10398,8166
10780,10428,8116
10780,10417,8094
10780,10437,8170
10780,10429,8169
10780,10381,8138
10780,10409,8161
10780,10422,8110
10780,10428,8157
10780,10419,8139
10780,10384,8118
10780,10418,8156
10780,10418,8159
10780,10417,8155
10780,10396,8123
10780,10393,8091
10780,10390,8121
10780,10404,8104
10780,10398,8142
10780,10398,8112
10780,10412,8183
10780,10422,8122
10780,10434,8118
10780,10374,8110
10780,10397,8152
10780,10435,8134
10780,10421,8208
10780,10428,8154
10780,10411,8231
10780,10410,8187
10780,10439,8130
10780,10425,8132
10780,10410,8093
10780,10403,8207
10780,10393,8086
10780,10436,8152
10780,10403,8068
10780,10426,8112
10780,10430,8156
10780,10424,8148
10780,10395,8097
10780,10426,8138
10780,10414,8055
10780,10425,8113
10780,10445,8110
10780,10384,8177
10780,10378,8163
10780,10424,8123
10780,10462,8170
