identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
9271,8792,6778
9271,8722,6716
9271,8797,6778
9271,8746,6600
9271,8778,6701
9271,8746,6658
9271,8767,6708
9271,8744,6651
9271,8759,6734
9271,8765,6704
9271,8772,6759
9271,8795,6729
9271,8769,6707
9271,8811,6649
9271,8760,6733
9271,8746,6672
9271,8766,6646
9271,8755,6710
9271,8749,6632
9271,8780,6688
9271,8807,6665
9271,8790,6597
9271,8760,6714
9271,8750,6648
9271,8756,6641
9271,8774,6604
9271,8769,6696
9271,8747,6705
9271,8776,6782
9271,8742,6670
9271,8758,6770
9271,8777,6657
9271,8770,6694
9271,8783,6716
9271,8746,6725
9271,8762,6733
9271,8756,6685
9271,8777,6649
9271,8838,6648
9271,8761,6664
9271,8754,6685
9271,8760,6760
9271,8740,6738
9271,8725,6699
9271,8747,6711
9271,8778,6704
9271,8802,6753
9271,8766,6715
9271,8751,6716
9271,8779,6728
9271,8787,6686
9271,8737,6606
9271,8770,6760
9271,8774,6691
9271,8762,6704
9271,8769,6768
9271,8767,6806
9271,8786,6722
9271,8769,6773
9271,8785,6738
9271,8768,6707
9271,8746,6755
9271,8754,6694
9271,8756,6615
9271,8734,6708
9271,8770,6773
9271,8773,6709
9271,8775,6759
9271,8759,6745
9271,8720,6728
9271,8767,6704
9271,8772,6746
9271,8779,6686
9271,8766,6748
9271,8776,6676
9271,8796,6731
9271,8779,6718
9271,8737,6667
9271,8767,6618
9271,8761,6676
9271,8781,6753
9271,8754,6783
9271,8779,6712
9271,8746,6712
9271,8746,6696
9271,8736,6684
9271,8798,6675
9271,8791,6687
9271,8741,6748
9271,8774,6684
9271,8745,6701
9271,8765,6666
9271,8754,6703
9271,8731,6675
9271,8773,6753
9271,8732,6692
9271,8768,6634
9271,8752,6697
9271,8758,6679
9271,8777,6707
9271,8763,6635
9271,8784,6810
9271,8735,6729
9271,8772,6708
9271,8748,6703
9271,8761,6758
9271,8760,6739
9271,8795,6697
9271,8787,6706
9271,8776,6671
9271,8756,6665
9271,8758,6707
9271,8752,6717
9271,8764,6664
9271,8775,6700
9271,8739,6706
9271,8792,6681
9271,8722,6693
9271,8772,6683
9271,8730,6715
9271,8735,6690
9271,8769,6727
9271,8743,6727
9271,8764,6713
9271,8767,6730
9271,8793,6721
9271,8757,6737
9271,8792,6602
9271,8787,6627
9271,8763,6672
9271,8746,6717
9271,8801,6692
9271,8748,6671
9271,8761,6683
9271,8736,6699
9271,8745,6731
9271,8764,6685
9271,8782,6674
9271,8746,6752
9271,8768,6670
9271,8794,6743
9271,8762,6609
9271,8801,6708
9271,8759,6788
9271,8753,6730
9271,8749,6749
9271,8770,6680
9271,8791,6698
9271,8762,6737
9271,8789,6732
9271,8786,6723
9271,8739,6719
9271,8748,6710
9271,8762,6657
9271,8771,6726
9271,8777,6722
9271,8775,6610
9271,8801,6743
9271,8759,6670
9271,8785,6738
9271,8737,6649
9271,8759,6689
9271,8745,6729
9271,8767,6790
9271,8764,6726
9271,8793,6701
9271,8774,6609
9271,8783,6714
9271,8735,6672
9271,8775,6651
9271,8758,6681
9271,8740,6684
9271,8691,6701
9271,8788,6723
9271,8794,6695
9271,8782,6675
9271,8803,6647
9271,8749,6720
9271,8745,6720
9271,8764,6705
9271,8767,6742
9271,8735,6647
9271,8733,6669
9271,8787,6744
9271,8752,6649
9271,8788,6743
9271,8731,6766
9271,8770,6704
9271,8811,6703
9271,8755,6677
9271,8772,6722
9271,8807,6699
9271,8739,6743
9271,8764,6670
9271,8758,6692
9271,8752,6654
9271,8775,6748
9271,8754,6703
9271,8753,6745
9271,8753,6698
9271,8774,6755
9271,8764,6679
9271,8773,6717
9271,8747,6714
9271,8754,6688
9271,8763,6725
9271,8759,6719
9271,8755,6695
9271,8764,6748
9271,8743,6720
9271,8772,6638
9271,8740,6686
9271,8762,6648
9271,8756,6715
9271,8755,6657
9271,8766,6695
9271,8767,6697
9271,8771,6657
9271,8743,6700
9271,8798,6706
9271,8759,6671
9271,8767,6700
9271,8757,6671
9271,8758,6742
9271,8742,6669
9271,8747,6673
9271,8741,6673
9271,8780,6758
9271,8760,6679
9271,8755,6700
9271,8765,6659
9271,8785,6693
9271,8759,6639
9271,8762,6657
9271,8729,6704
9271,8738,6708
9271,8754,6705
9271,8758,6751
9271,8793,6687
9271,8735,6725
9271,8731,6720
9271,8760,6746
9271,8772,6661
9271,8763,6759
9271,8751,6661
9271,8746,6617
9271,8784,6654
9271,8791,6683
9271,8754,6754
9271,8800,6728
9271,8765,6676
9271,8746,6674
9271,8778,6768
9271,8768,6746
9271,8724,6683
9271,8791,6714
9271,8760,6643
9271,8788,6705
9271,8787,6657
9271,8708,6711
9271,8770,6634
9271,8744,6646
9271,8757,6658
9271,8738,6697
9271,8750,6679
9271,8745,6702
9271,8731,6696
9271,8751,6701
9271,8766,6716
9271,8794,6766
9271,8792,6761
9271,8798,6709
9271,8781,6770
9271,8744,6767
9271,8756,6704
9271,8798,6717
9271,8751,6721
9271,8783,6735
9271,8718,6667
9271,8750,6628
9271,8756,6666
9271,8767,6705
9271,8762,6699
9271,8735,6669
9271,8768,6655
9271,8780,6758
9271,8761,6753
9271,8778,6693
9271,8757,6673
9271,8749,6728
9271,8743,6746
9271,8770,6715
9271,8755,6671
9271,8727,6700
9271,8767,6715
9271,8801,6727
9271,8760,6674
9271,8747,6731
9271,8788,6705
9271,8782,6664
9271,8767,6699
9271,8783,6735
9271,8799,6652
9271,8745,6690
9271,8770,6758
9271,8750,6703
9271,8771,6722
9271,8759,6673
9271,8749,6673
9271,8727,6726
9271,8764,6655
9271,8745,6681
9271,8797,6704
9271,8747,6705
9271,8765,6766
9271,8756,6749
9271,8755,6664
9271,8744,6739
9271,8740,6690
9271,8787,6631
9271,8781,6698
9271,8771,6669
9271,8762,6764
9271,8773,6657
9271,8810,6671
9271,8774,6734
9271,8756,6735
9271,8795,6641
9271,8781,6807
9271,8779,6704
9271,8775,6668
9271,8752,6674
9271,8753,6707
9271,8739,6740
9271,8765,6734
9271,8765,6648
9271,8767,6708
9271,8765,6670
9271,8766,6744
9271,8775,6726
9271,8776,6728
9271,8777,6681
9271,8730,6703
9271,8746,6677
9271,8761,6659
9271,8770,6739
9271,8770,6724
9271,8773,6710
9271,8728,6612
9271,8756,6691
9271,8762,6688
9271,8778,6722
9271,8796,6744
9271,8779,6734
9271,8750,6650
9271,8755,6680
9271,8757,6722
9271,8781,6696
9271,8788,6701
9271,8735,6685
9271,8746,6768
9271,8775,6786
9271,8769,6727
9271,8774,6703
9271,8773,6658
9271,8781,6679
9271,8741,6628
9271,8752,6612
9271,8776,6737
9271,8798,6602
9271,8751,6729
9271,8783,6738
9271,8798,6738
9271,8763,6618
9271,8760,6697
9271,8735,6673
9271,8729,6730
9271,8772,6707
9271,8732,6708
9271,8746,6722
9271,8768,6743
9271,8774,6684
9271,8746,6707
9271,8745,6665
9271,8782,6686
9271,8777,6710
9271,8776,6740
9271,8757,6733
9271,8769,6718
9271,8741,6682
9271,8751,6656
9271,8752,6694
9271,8763,6699
9271,8751,6720
9271,8778,6716
9271,8801,6757
9271,8766,6671
9271,8795,6684
9271,8769,6724
9271,8788,6714
9271,8786,6677
9271,8768,6755
9271,8784,6698
9271,8789,6636
9271,8770,6672
9271,8776,6719
9271,8764,6747
9271,8795,6730
9271,8764,6667
9271,8737,6732
9271,8800,6768
9271,8762,6690
9271,8751,6738
9271,8743,6668
9271,8759,6668
9271,8754,6774
9271,8788,6682
9271,8775,6708
9271,8753,6634
9271,8785,6688
9271,8735,6764
9271,8767,6713
9271,8742,6696
9271,8738,6719
9271,8764,6683
9271,8750,6639
9271,8786,6563
9271,8770,6734
9271,8754,6763
9271,8791,6706
9271,8765,6739
9271,8804,6676
9271,8799,6752
9271,8781,6687
9271,8775,6723
9271,8773,6738
9271,8781,6741
9271,8775,6739
9271,8795,6753
9271,8746,6697
9271,8770,6733
9271,8808,6722
9271,8800,6717
9271,8756,6620
9271,8794,6664
9271,8759,6719
9271,8776,6748
9271,8779,6661
9271,8801,6701
9271,8789,6715
9271,8742,6720
9271,8792,6723
9271,8759,6760
9271,8737,6786
9271,8743,6685
9271,8737,6680
9271,8756,6710
9271,8756,6638
9271,8751,6681
9271,8721,6710
9271,8770,6746
9271,8787,6743
9271,8734,6718
9271,8781,6664
9271,8765,6804
9271,8773,6639
9271,8766,6709
9271,8730,6660
9271,8762,6649
9271,8742,6702
9271,8797,6721
9271,8786,6698
9271,8762,6698
9271,8745,6733
9271,8768,6759
9271,8756,6740
9271,8736,6685
9271,8741,6660
9271,8752,6707
9271,8748,6729
9271,8741,6662
9271,8771,6717
9271,8800,6723
9271,8774,6677
9271,8709,6723
9271,8765,6705
9271,8802,6678
9271,8757,6636
9271,8786,6651
9271,8771,6681
9271,8786,6744
9271,8782,6769
9271,8748,6699
9271,8745,6802
9271,8776,6723
9271,8769,6644
9271,8748,6700
9271,8768,6705
9271,8772,6672
9271,8753,6687
9271,8807,6702
9271,8740,6698
9271,8761,6664
9271,8766,6735
9271,8734,6698
9271,8772,6762
9271,8765,6683
9271,8774,6715
9271,8735,6655
9271,8764,6677
9271,8759,6713
9271,8756,6709
9271,8755,6718
9271,8791,6679
9271,8831,6688
9271,8780,6749
9271,8787,6730
9271,8745,6680
9271,8796,6656
9271,8787,6694
9271,8807,6699
9271,8785,6716
9271,8785,6649
9271,8773,6743
9271,8787,6716
9271,8773,6692
9271,8795,6704
9271,8804,6628
9271,8789,6721
9271,8753,6641
9271,8754,6700
9271,8787,6691
9271,8775,6744
9271,8770,6694
9271,8732,6735
9271,8781,6614
9271,8749,6761
9271,8741,6717
9271,8774,6685
9271,8734,6713
9271,8790,6710
9271,8729,6711
9271,8750,6710
9271,8728,6734
9271,8798,6655
9271,8783,6713
9271,8776,6726
9271,8782,6709
9271,8753,6708
9271,8776,6710
9271,8779,6695
9271,8737,6646
9271,8750,6660
9271,8786,6681
