identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
43870,41011,33961
43870,41044,33866
43870,41027,33947
43870,41036,33915
43870,41037,33684
43870,41000,33733
43870,41024,33871
43870,40997,33894
43870,41010,33819
43870,40998,33833
43870,41017,33895
43870,41044,33948
43870,40936,33855
43870,40993,33736
43870,41020,33806
43870,40981,33966
43870,41020,33809
43870,41051,33950
43870,41029,33876
43870,41056,33835
43870,40942,33841
43870,40991,33943
43870,41029,33826
43870,41051,33761
43870,41115,33962
43870,41016,33831
43870,40994,33747
43870,40982,33990
43870,41006,33812
43870,40969,33962
43870,41029,33890
43870,41063,33919
43870,41067,33958
43870,40957,33736
43870,41017,33821
43870,40913,33948
43870,41043,33806
43870,40994,33887
43870,41011,33794
43870,41027,33980
43870,40991,34044
43870,41003,33964
43870,40989,33785
43870,41067,33697
43870,41008,33953
43870,40943,33831
43870,41120,33844
43870,41005,33911
43870,40982,33987
43870,40906,33887
43870,40973,33954
43870,40968,33989
43870,41047,34008
43870,41000,33823
43870,41023,33878
43870,40948,33943
43870,40995,33881
43870,41030,33965
43870,40920,33816
43870,40983,34062
43870,41094,33771
43870,40989,33806
43870,40936,33795
43870,40979,33720
43870,40941,33887
43870,40928,33916
43870,40989,33971
43870,40954,33853
43870,40922,33836
43870,40985,33841
43870,40961,33754
43870,40982,33868
43870,41102,33865
43870,41012,33857
43870,40974,33879
43870,41017,33917
43870,40945,33917
43870,40872,33877
43870,41072,33852
43870,41017,33933
43870,40908,33972
43870,41011,33819
43870,41004,33893
43870,40949,33796
43870,40968,33934
43870,40954,33937
43870,41120,33812
43870,41009,33823
43870,41049,33936
43870,40959,33876
43870,41039,33996
43870,40949,33844
43870,40947,34007
43870,41011,33949
43870,40874,33924
43870,40904,33974
43870,40996,33940
43870,41059,33886
43870,41057,33808
43870,41066,33766
43870,40966,33927
43870,41025,33947
43870,41021,33813
43870,40997,33932
43870,40972,34000
43870,41018,33773
43870,40940,33913
43870,40998,33875
43870,41035,33824
43870,41044,33898
43870,40961,33841
43870,41095,33894
43870,40910,33948
43870,40948,33744
43870,40998,34007
43870,40964,33954
43870,41020,33981
43870,41007,33929
43870,40975,33827
43870,41070,33832
43870,41003,33995
43870,40972,33835
43870,40980,33749
43870,41075,33959
43870,41027,33780
43870,41057,33775
43870,41062,33809
43870,41020,33806
43870,40916,33759
43870,40960,33925
43870,41054,33700
43870,41048,33898
43870,41009,33823
43870,41004,33919
43870,41024,33927
43870,40889,33873
43870,41082,33837
43870,40946,33838
43870,41127,33915
43870,41052,33819
43870,41031,33880
43870,41049,33734
43870,41002,33935
43870,41003,33831
43870,40899,33744
43870,41024,33929
43870,41040,33821
43870,41040,33758
43870,41030,33900
43870,40973,33895
43870,40985,33769
43870,40985,33975
43870,40965,33806
43870,40951,33771
43870,40970,33851
43870,40994,33712
43870,40950,33977
43870,40961,33886
43870,40949,33884
43870,41050,33756
43870,40892,33860
43870,40971,33894
43870,40974,33956
43870,41004,33753
43870,41044,33809
43870,41013,33942
43870,41041,33725
43870,41097,33987
43870,40953,33862
43870,41142,33809
43870,40921,33838
43870,40966,33841
43870,41067,33854
43870,41079,33840
43870,40965,33822
43870,41076,33948
43870,40898,33876
43870,41018,33843
43870,40985,33934
43870,41024,33875
43870,40938,33831
43870,41004,34030
43870,41071,33811
43870,41050,33744
43870,40925,33724
43870,41065,33869
43870,41073,33910
43870,41039,33804
43870,41019,33779
43870,40939,33840
43870,41088,33961
43870,41034,33828
43870,40967,33974
43870,40970,33773
43870,41027,33820
43870,41050,33883
43870,40939,33880
43870,41029,33811
43870,40993,33859
43870,41060,33805
43870,41006,33909
43870,40932,33769
43870,40999,33798
43870,41074,33801
43870,41006,33819
43870,41077,33828
43870,41023,33706
43870,41023,33861
43870,41076,33781
43870,41037,33876
43870,40968,33860
43870,41015,33806
43870,41030,33888
43870,41035,33880
43870,40966,33895
43870,41060,33897
43870,41101,33894
43870,40984,33992
43870,41007,33875
43870,41060,33902
43870,41045,33774
43870,40977,33752
43870,41013,33965
43870,41000,33767
43870,40968,33877
43870,40967,33856
43870,40967,33815
43870,41013,33749
43870,40996,33876
43870,40970,33880
43870,40996,33892
43870,40999,33875
43870,40969,33762
43870,40965,33930
43870,40869,33854
43870,41019,33694
43870,40999,33889
43870,41049,33906
43870,40986,33880
43870,41006,33910
43870,41005,33780
43870,41080,33972
43870,40992,33931
43870,41010,33977
43870,41052,33906
43870,41041,33867
43870,41020,33724
43870,41040,33920
43870,40926,33877
43870,40996,33867
43870,40988,33939
43870,41017,33841
43870,40908,33861
43870,40917,33886
43870,40949,33821
43870,41030,33824
43870,41057,33866
43870,41007,33805
43870,40899,33937
43870,41048,33883
43870,40970,33883
43870,40915,33845
43870,40982,33870
43870,40984,33867
43870,41002,33823
43870,40986,33794
43870,41016,33798
43870,41035,33920
43870,40960,33771
43870,41056,33829
43870,41107,33817
43870,41026,34034
43870,40991,33908
43870,40914,33918
43870,41091,33937
43870,41050,33897
43870,40968,33870
43870,41003,33924
43870,40905,33876
43870,40973,33799
43870,40945,33987
43870,40969,33902
43870,41020,33812
43870,41017,33798
43870,41012,33973
43870,40975,33840
43870,41023,33921
43870,40994,33908
43870,40960,33875
43870,40996,33820
43870,40995,33747
43870,41007,33687
43870,40987,33788
43870,41001,33754
43870,41033,33935
43870,40991,33999
43870,40957,33641
43870,41059,33777
43870,40986,33826
43870,41099,33941
43870,41062,33890
43870,40997,33853
43870,41030,33945
43870,40997,33597
43870,40946,33853
43870,40834,33835
43870,41074,33820
43870,41015,33815
43870,41077,33962
43870,40992,33797
43870,40974,33911
43870,40994,33866
43870,40948,33764
43870,40987,33915
43870,40997,34031
43870,40979,33834
43870,40986,33813
43870,41020,34083
43870,40919,33884
43870,41011,33871
43870,41002,33876
43870,41064,33920
43870,41034,33805
43870,40915,33885
43870,40989,33946
43870,40950,33955
43870,41054,33791
43870,41028,33743
43870,41136,33860
43870,40997,33766
43870,41015,33791
43870,40961,33854
43870,40919,33857
43870,40988,33803
43870,41032,33893
43870,41051,33912
43870,40975,33752
43870,40968,33875
43870,40998,33891
43870,40973,33744
43870,40984,33809
43870,41015,33839
43870,41024,33999
43870,40979,33936
43870,40965,33782
43870,41003,33822
43870,41013,33876
43870,41135,33985
43870,41055,33935
43870,41057,33969
43870,41013,33862
43870,40999,33908
43870,40974,33700
43870,41071,34052
43870,40961,33840
43870,41039,33770
43870,40922,33821
43870,41039,34092
43870,41079,33918
43870,41034,33829
43870,40960,33894
43870,40966,33825
43870,41029,33812
43870,41025,33921
43870,40899,33963
43870,41067,33828
43870,40963,33766
43870,41032,33867
43870,41057,33899
43870,41000,33924
43870,41023,33934
43870,40905,33810
43870,40898,33773
43870,41021,33806
43870,41023,33868
43870,41012,33795
43870,41021,33876
43870,41006,33924
43870,41029,33884
43870,40969,33988
43870,40973,33896
43870,40963,33842
43870,41072,33837
43870,40988,33828
43870,41070,33972
43870,41011,33910
43870,40991,33883
43870,40937,33966
43870,40972,33956
43870,41027,33874
43870,41057,33886
43870,40987,33785
43870,40846,33961
43870,41006,33878
43870,41082,33786
43870,40999,33886
43870,41013,33895
43870,40994,33861
43870,41061,33692
43870,41023,33691
43870,40995,33985
43870,40936,33786
43870,41018,33790
43870,40985,33942
43870,41058,33886
43870,40969,33785
43870,41046,33855
43870,41047,33980
43870,41014,33936
43870,41025,33835
43870,41031,33824
43870,41097,34009
43870,40958,33739
43870,41038,33796
43870,41015,33927
43870,40993,33914
43870,40959,33722
43870,40922,33964
43870,41011,33836
43870,40968,33833
43870,41077,33755
43870,41057,33617
43870,40962,33840
43870,40968,33938
43870,41006,33658
43870,41003,33774
43870,40964,33762
43870,41029,33841
43870,40972,33884
43870,40901,33839
43870,41000,33873
43870,40981,33939
43870,40978,33852
43870,41030,33828
43870,41005,33868
43870,40940,33856
43870,41068,33951
43870,41042,33917
43870,40931,33827
43870,41013,33843
43870,41053,33847
43870,41017,34027
43870,41072,33803
43870,40951,33858
43870,41037,33939
43870,41022,33737
43870,40966,33707
43870,41043,33788
43870,41099,33876
43870,40992,33703
43870,41075,33811
43870,41040,33932
43870,40951,33848
43870,41017,33859
43870,41061,33798
43870,41019,33947
43870,41003,33956
43870,41068,33877
43870,40937,33956
43870,40901,33911
43870,41062,33889
43870,41009,33904
43870,40942,33741
43870,41020,33885
43870,40945,33805
43870,41104,33958
43870,41126,33945
43870,40919,33800
43870,40954,33917
43870,41009,34042
43870,41077,33784
43870,41016,33873
43870,40979,33784
43870,40937,33914
43870,41006,33809
43870,40918,33762
43870,41012,33905
43870,40978,33846
43870,41022,33968
43870,41057,33921
43870,41006,33947
43870,41040,33978
43870,40980,33831
43870,41002,33927
43870,41071,33793
43870,41057,33949
43870,41064,33804
43870,41037,33967
43870,40969,33742
43870,41023,33988
43870,41027,33760
43870,41116,33782
43870,40946,33940
43870,40917,33925
43870,40938,33745
43870,41011,34026
43870,40953,33925
43870,40987,33998
43870,41084,34071
43870,41003,33756
43870,41042,33835
43870,41032,33984
43870,40928,33928
43870,40998,33941
43870,41004,33815
43870,41040,33883
43870,41053,33933
43870,41128,33870
43870,41077,33890
43870,40996,33795
43870,40954,33811
43870,40959,33906
43870,41002,33796
43870,40996,33847
43870,40992,33852
43870,40950,33820
43870,41067,33862
43870,41040,33857
43870,40939,33769
43870,41034,33924
43870,41017,33960
43870,41069,33617
43870,40953,33920
43870,41068,33990
43870,41031,33974
43870,41071,33779
43870,40932,33858
43870,40990,33922
43870,40950,33980
43870,41061,33907
43870,41007,33783
43870,40893,33839
43870,40996,33745
43870,41018,33744
43870,41020,33905
43870,40901,33870
43870,40988,33887
43870,41007,33834
43870,41031,33696
43870,41008,33793
43870,41027,33931
43870,41008,33739
43870,40922,33739
43870,41043,33748
43870,41018,33917
43870,41057,33870
43870,40938,33803
43870,40946,33728
43870,41045,33806
43870,41084,33870
43870,41061,33809
43870,41015,33887
43870,40982,33921
43870,40951,33852
43870,41032,33811
43870,41005,33822
43870,41104,34029
43870,40985,33924
43870,41011,33895
43870,40945,33801
43870,41025,33982
43870,40989,33957
43870,40960,33940
43870,40988,33876
43870,40969,33748
43870,41037,33747
43870,40933,33767
43870,41022,33810
43870,41043,33863
43870,40960,33834
43870,41074,33826
43870,41030,33949
43870,41003,33776
43870,40988,33846
43870,41000,33945
43870,41066,33919
43870,40887,33841
43870,41034,33908
43870,41040,33968
43870,41073,33942
43870,41048,33870
43870,40881,33918
43870,40882,33757
43870,40950,33924
43870,40965,33799
43870,41031,33929
43870,41082,33996
43870,41029,33975
43870,40965,33727
43870,41049,33866
43870,41028,33798
43870,40970,33896
43870,40940,33758
43870,40993,33886
43870,40994,33918
43870,40969,33847
43870,41007,33874
43870,40966,33837
43870,40998,33876
43870,40990,33899
43870,41009,33955
43870,41031,33852
43870,40987,34041
43870,41003,33895
43870,41016,34058
43870,40963,33933
43870,41042,33787
43870,41004,33870
43870,41005,33814
43870,40997,33971
43870,41066,33899
43870,40996,33973
43870,41062,33765
43870,41005,33764
43870,40921,33882
43870,40967,33815
43870,40946,33834
43870,41021,33908
43870,41072,33801
43870,41060,33725
43870,40996,33788
43870,40959,33883
43870,40949,33818
43870,40998,33713
43870,40995,33739
43870,41051,33726
43870,40980,34025
43870,40936,33842
43870,40901,33915
43870,40954,33697
43870,41025,33776
43870,40911,33862
43870,40991,33901
43870,40986,33897
43870,41015,33918
43870,40964,33898
43870,41021,33925
43870,41089,33736
43870,41026,33908
43870,40986,33973
43870,40931,33810
43870,41042,33885
43870,41073,33815
43870,41048,33882
43870,40998,33864
43870,41004,33753
43870,40917,33732
43870,41088,33760
43870,40996,33899
43870,40949,33830
