identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
48471,45224,35972
48471,45135,36228
48471,45361,36110
48471,45205,35999
48471,45251,36015
48471,45141,35992
48471,45199,36009
48471,45221,35931
48471,45152,35964
48471,45274,35982
48471,45165,35988
48471,45198,36024
48471,45206,36078
48471,45232,36088
48471,45157,36024
48471,45219,36011
48471,45215,36002
48471,45241,36067
48471,45200,36019
48471,45175,35964
48471,45247,35980
48471,45175,35996
48471,45231,36080
48471,45252,35989
48471,45135,35979
48471,45202,35958
48471,45251,35928
48471,45250,35954
48471,45181,35909
48471,45067,35944
48471,45125,36047
48471,45259,36088
48471,45198,35891
48471,45192,35986
48471,45217,35956
48471,45203,36174
48471,45166,35983
48471,45272,35983
48471,45269,35985
48471,45169,36016
48471,45119,36129
48471,45263,36055
48471,45263,36103
48471,45174,35973
48471,45158,35938
48471,45053,35981
48471,45075,35846
48471,45300,36024
48471,45151,35908
48471,45160,36032
48471,45211,36124
48471,45188,36152
48471,45133,35965
48471,45187,35878
48471,45125,35967
48471,45184,35936
48471,45253,35924
48471,45139,36033
48471,45235,36017
48471,45203,36014
48471,45185,36040
48471,45248,36070
48471,45175,35968
48471,45204,36083
48471,45222,36058
48471,45237,36152
48471,45203,35906
48471,45218,36072
48471,45248,35888
48471,45248,36037
48471,45284,35991
48471,45212,36115
48471,45201,36063
48471,45134,36060
48471,45176,36066
48471,45147,35951
48471,45145,36122
48471,45269,36016
48471,45176,36020
48471,45149,36145
48471,45120,36043
48471,45201,36033
48471,45044,36110
48471,45220,36107
48471,45173,36056
48471,45121,35943
48471,45211,36144
48471,45086,36019
48471,45146,36035
48471,45190,36140
48471,45157,35932
48471,45185,35957
48471,45105,35892
48471,45121,36151
48471,45227,35832
48471,45209,36157
48471,45092,36218
48471,45226,36140
48471,45157,36047
48471,45094,36171
48471,45267,36026
48471,45211,35968
48471,45137,36059
48471,45282,36144
48471,45196,36020
48471,45095,36049
48471,45182,36068
48471,45157,35950
48471,45216,36064
48471,45123,36060
48471,45185,36083
48471,45204,36006
48471,45184,36047
48471,45211,36230
48471,45169,35923
48471,45246,35963
48471,45240,36093
48471,45126,36144
48471,45196,36079
48471,45138,36139
48471,45266,36061
48471,45271,36072
48471,45202,36099
48471,45256,36075
48471,45165,36202
48471,45183,35920
48471,45193,35982
48471,45218,36084
48471,45117,36008
48471,45204,36027
48471,45261,35978
48471,45209,35952
48471,45224,35969
48471,45123,35963
48471,45237,36173
48471,45226,36043
48471,45264,36100
48471,45173,35998
48471,45185,36022
48471,45174,36010
48471,45140,35964
48471,45235,36085
48471,45279,35830
48471,45205,36025
48471,45157,36081
48471,45155,35951
48471,45195,36012
48471,45139,35952
48471,45253,35782
48471,45209,35980
48471,45173,35977
48471,45212,36055
48471,45174,36038
48471,45190,35915
48471,45216,36189
48471,45080,36071
48471,45132,35969
48471,45124,35908
48471,45153,35915
48471,45110,35956
48471,45136,35917
48471,45247,36105
48471,45222,36036
48471,45217,36013
48471,45201,35965
48471,45135,36066
48471,45129,36153
48471,45219,36245
48471,45251,35948
48471,45167,36139
48471,45204,36054
48471,45186,36110
48471,45077,36037
48471,45228,36148
48471,45231,35945
48471,45182,36041
48471,45131,36142
48471,45266,35906
48471,45145,35971
48471,45143,36080
48471,45140,36039
48471,45208,35978
48471,45225,36037
48471,45238,36138
48471,45190,36040
48471,45167,36058
48471,45136,36166
48471,45313,35902
48471,45232,35870
48471,45171,36033
48471,45232,36056
48471,45259,36086
48471,45261,35882
48471,45209,36086
48471,45245,35963
48471,45250,36005
48471,45204,36053
48471,45105,35857
48471,45142,35945
48471,45254,35854
48471,45267,36098
48471,45238,36024
48471,45159,35991
48471,45187,36048
48471,45291,35857
48471,45279,36012
48471,45082,36019
48471,45163,35955
48471,45225,36025
48471,45260,35964
48471,45147,36015
48471,45173,36011
48471,45076,35918
48471,45074,35900
48471,45158,35942
48471,45135,36037
48471,45220,35859
48471,45092,35989
48471,45140,36040
48471,45204,35984
48471,45159,36156
48471,45109,36104
48471,45186,36173
48471,45251,36013
48471,45192,36147
48471,45176,35932
48471,45254,35915
48471,45192,36064
48471,45189,36098
48471,45210,36010
48471,45165,35979
48471,45244,35923
48471,45175,35834
48471,45097,36067
48471,45116,36040
48471,45187,36075
48471,45233,35988
48471,45229,35925
48471,45087,36019
48471,45190,35898
48471,45157,35985
48471,45209,36009
48471,45145,36068
48471,45225,36051
48471,45176,36042
48471,45119,36109
48471,45196,36054
48471,45167,36074
48471,45226,35956
48471,45187,36055
48471,45225,35961
48471,45056,36150
48471,45094,36089
48471,45105,36086
48471,45194,36034
48471,45261,36225
48471,45162,36051
48471,45193,36003
48471,45188,36145
48471,45187,35973
48471,45275,35970
48471,45199,36079
48471,45176,36043
48471,45230,36033
48471,45139,35948
48471,45195,35936
48471,45124,35896
48471,45226,36041
48471,45113,35928
48471,45169,36142
48471,45150,36093
48471,45204,36233
48471,45248,36050
48471,45221,35982
48471,45245,35866
48471,45124,36002
48471,45287,35976
48471,45183,36127
48471,45207,35904
48471,45173,35836
48471,45151,36084
48471,45239,36209
48471,45127,35932
48471,45215,36040
48471,45191,35968
48471,45157,36080
48471,45059,36229
48471,45161,35876
48471,45280,35994
48471,45181,35911
48471,45145,36063
48471,45268,36079
48471,45167,35966
48471,45168,35995
48471,45206,36124
48471,45187,36096
48471,45151,36117
48471,45206,35952
48471,45202,35977
48471,45271,36016
48471,45259,35891
48471,45139,36063
48471,45219,35909
48471,45116,36008
48471,45104,35874
48471,45188,36075
48471,45254,35987
48471,45141,36017
48471,45205,36049
48471,45206,36005
48471,45202,36090
48471,45158,35941
48471,45319,35965
48471,45280,35914
48471,45160,36129
48471,45167,36029
48471,45245,36076
48471,45122,35961
48471,45221,35994
48471,45256,36029
48471,45189,36071
48471,45209,35824
48471,45201,36061
48471,45222,36083
48471,45272,36151
48471,45242,35953
48471,45171,36157
48471,45130,36094
48471,45266,36099
48471,45234,35897
48471,45283,35953
48471,45200,36121
48471,45161,35986
48471,45113,36116
48471,45212,35999
48471,45233,36096
48471,45199,36125
48471,45232,35870
48471,45217,36015
48471,45202,35963
48471,45217,35991
48471,45276,36034
48471,45176,35951
48471,45144,36150
48471,45194,35949
48471,45139,36059
48471,45222,35974
48471,45189,36100
48471,45173,36081
48471,45260,36046
48471,45190,35996
48471,45195,36079
48471,45182,36146
48471,45271,36038
48471,45199,35906
48471,45257,35855
48471,45283,36022
48471,45224,36164
48471,45203,35975
48471,45129,36028
48471,45178,36146
48471,45252,35878
48471,45222,35965
48471,45223,35920
48471,45214,36091
48471,45274,36007
48471,45183,36017
48471,45166,36061
48471,45098,36078
48471,45021,36019
48471,45310,36057
48471,45063,36023
48471,45188,36021
48471,45346,35918
48471,45140,36062
48471,45217,35990
48471,45234,35925
48471,45190,36068
48471,45123,35981
48471,45176,35993
48471,45154,35948
48471,45164,35904
48471,45162,36011
48471,45186,35927
48471,45278,35952
48471,45121,35835
48471,45250,36068
48471,45196,35802
48471,45079,36016
48471,45108,36074
48471,45156,36155
48471,45214,35995
48471,45298,35942
48471,45279,35895
