identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
8980,8673,6548
8980,8656,6606
8980,8677,6587
8980,8651,6618
8980,8652,6612
8980,8611,6613
8980,8615,6587
8980,8641,6579
8980,8666,6663
8980,8657,6598
8980,8645,6605
8980,8652,6549
8980,8652,6604
8980,8633,6630
8980,8630,6531
8980,8636,6581
8980,8633,6648
8980,8655,6564
8980,8647,6635
8980,8622,6594
8980,8650,6568
8980,8661,6585
8980,8636,6574
8980,8658,6624
8980,8660,6584
8980,8637,6576
8980,8639,6608
8980,8629,6550
8980,8665,6601
8980,8662,6618
8980,8632,6626
8980,8658,6556
8980,8640,6608
8980,8689,6615
8980,8638,6626
8980,8645,6594
8980,8646,6588
8980,8641,6554
8980,8630,6584
8980,8625,6555
8980,8658,6567
8980,8678,6586
8980,8637,6543
8980,8654,6604
8980,8646,6610
8980,8665,6584
8980,8658,6620
8980,8625,6573
8980,8667,6607
8980,8646,6590
8980,8653,6557
8980,8635,6597
8980,8658,6518
8980,8614,6563
8980,8657,6500
8980,8649,6594
8980,8654,6609
8980,8662,6560
8980,8647,6525
8980,8640,6575
8980,8659,6624
8980,8642,6622
8980,8655,6634
8980,8653,6616
8980,8674,6629
8980,8667,6590
8980,8639,6632
8980,8678,6622
8980,8645,6580
8980,8628,6517
8980,8657,6596
8980,8633,6575
8980,8666,6472
8980,8657,6571
8980,8673,6600
8980,8639,6557
8980,8638,6645
8980,8622,6568
8980,8648,6552
8980,8660,6571
8980,8623,6636
8980,8648,6664
8980,8679,6608
8980,8615,6618
8980,8648,6591
8980,8655,6609
8980,8658,6542
8980,8656,6623
8980,8657,6641
8980,8636,6628
8980,8646,6616
8980,8645,6500
8980,8646,6526
8980,8687,6558
8980,8649,6531
8980,8653,6558
8980,8680,6612
8980,8649,6604
8980,8680,6560
8980,8665,6510
8980,8651,6632
8980,8629,6515
8980,8675,6596
8980,8641,6512
8980,8610,6563
8980,8629,6567
8980,8657,6558
8980,8646,6672
8980,8659,6600
8980,8655,6559
8980,8656,6596
8980,8650,6579
8980,8629,6628
8980,8649,6588
8980,8647,6587
8980,8654,6582
8980,8649,6604
8980,8646,6612
8980,8639,6593
8980,8640,6576
8980,8622,6558
8980,8643,6552
8980,8676,6553
8980,8632,6577
8980,8619,6573
8980,8661,6608
8980,8653,6595
8980,8635,6587
8980,8645,6560
8980,8620,6639
8980,8624,6575
8980,8673,6563
8980,8673,6614
8980,8646,6627
8980,8600,6591
8980,8665,6652
8980,8640,6617
8980,8649,6612
8980,8637,6535
8980,8655,6557
8980,8640,6613
8980,8660,6573
8980,8645,6595
8980,8668,6585
8980,8629,6582
8980,8632,6656
8980,8675,6527
8980,8675,6518
8980,8668,6601
8980,8635,6517
8980,8648,6630
8980,8650,6560
8980,8626,6564
8980,8671,6571
8980,8629,6602
8980,8673,6625
8980,8659,6527
8980,8683,6572
8980,8655,6617
8980,8675,6626
8980,8645,6552
8980,8630,6677
8980,8674,6560
8980,8667,6635
8980,8674,6599
8980,8656,6624
8980,8666,6521
8980,8664,6661
8980,8634,6606
8980,8647,6648
8980,8673,6581
8980,8627,6625
8980,8653,6566
8980,8665,6572
8980,8676,6501
8980,8665,6644
8980,8656,6568
8980,8639,6614
8980,8646,6585
8980,8644,6560
8980,8656,6521
8980,8661,6614
8980,8638,6546
8980,8642,6665
8980,8648,6635
8980,8661,6570
8980,8651,6541
8980,8650,6604
8980,8671,6603
8980,8697,6527
8980,8624,6597
8980,8642,6555
8980,8662,6525
8980,8662,6589
8980,8630,6558
8980,8650,6497
8980,8665,6538
8980,8687,6536
8980,8655,6660
8980,8656,6611
8980,8655,6592
8980,8687,6619
8980,8641,6509
8980,8628,6622
8980,8618,6609
8980,8675,6543
8980,8659,6518
8980,8638,6553
8980,8647,6559
8980,8643,6545
8980,8631,6579
8980,8626,6611
8980,8661,6582
8980,8647,6565
8980,8690,6571
8980,8649,6589
8980,8635,6661
