identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
37760,35227,28304
37760,35219,28402
37760,35203,28295
37760,35194,28225
37760,35187,28541
37760,35193,28398
37760,35187,28445
37760,35132,28553
37760,35232,28382
37760,35264,28406
37760,35252,28329
37760,35182,28478
37760,35148,28342
37760,35135,28481
37760,35218,28408
37760,35171,28364
37760,35188,28448
37760,35232,28410
37760,35186,28288
37760,35149,28297
37760,35271,28355
37760,35200,28408
37760,35164,28387
37760,35219,28553
37760,35189,28252
37760,35222,28517
37760,35202,28385
37760,35144,28279
37760,35174,28313
37760,35206,28432
37760,35197,28283
37760,35195,28437
37760,35230,28356
37760,35120,28344
37760,35230,28375
37760,35116,28241
37760,35163,28286
37760,35217,28503
37760,35223,28432
37760,35172,28334
37760,35119,28314
37760,35166,28454
37760,35100,28461
37760,35223,28263
37760,35156,28395
37760,35132,28359
37760,35134,28358
37760,35169,28234
37760,35135,28429
37760,35164,28432
37760,35210,28439
37760,35181,28320
37760,35160,28380
37760,35196,28455
37760,35136,28450
37760,35147,28456
37760,35145,28317
37760,35221,28389
37760,35130,28561
37760,35248,28428
37760,35199,28309
37760,35173,28319
37760,35143,28428
37760,35190,28417
37760,35184,28399
37760,35208,28388
37760,35221,28526
37760,35194,28395
37760,35150,28396
37760,35234,28490
37760,35205,28354
37760,35169,28330
37760,35208,28541
37760,35182,28211
37760,35139,28242
37760,35196,28307
37760,35291,28316
37760,35174,28196
37760,35219,28453
37760,35190,28425
37760,35179,28278
37760,35216,28334
37760,35166,28535
37760,35168,28405
37760,35250,28464
37760,35320,28486
37760,35260,28397
37760,35156,28328
37760,35106,28377
37760,35204,28287
37760,35218,28439
37760,35100,28332
37760,35153,28427
37760,35276,28316
37760,35215,28339
37760,35164,28282
37760,35197,28271
37760,35175,28374
37760,35185,28245
37760,35243,28398
37760,35127,28468
37760,35224,28433
37760,35100,28439
37760,35204,28488
37760,35198,28395
37760,35155,28195
37760,35245,28362
37760,35204,28477
37760,35219,28428
37760,35199,28378
37760,35151,28378
37760,35162,28273
37760,35172,28391
37760,35256,28302
37760,35175,28401
37760,35260,28324
37760,35158,28419
37760,35199,28391
37760,35180,28334
37760,35235,28472
37760,35236,28333
37760,35269,28404
37760,35197,28505
37760,35181,28373
37760,35105,28399
37760,35216,28269
37760,35230,28140
37760,35261,28372
37760,35207,28395
37760,35146,28533
37760,35228,28529
37760,35214,28200
37760,35185,28543
37760,35198,28255
37760,35199,28329
37760,35159,28376
37760,35167,28343
37760,35248,28405
37760,35197,28516
37760,35147,28462
37760,35227,28395
37760,35219,28285
37760,35208,28327
37760,35160,28243
37760,35210,28487
37760,35175,28344
37760,35259,28404
37760,35213,28391
37760,35144,28463
37760,35141,28437
37760,35128,28344
37760,35234,28324
37760,35147,28310
37760,35193,28392
37760,35169,28448
37760,35311,28421
37760,35049,28509
37760,35162,28359
37760,35155,28353
37760,35255,28368
37760,35180,28404
37760,35230,28468
37760,35136,28276
37760,35224,28354
37760,35167,28367
37760,35155,28572
37760,35183,28508
37760,35252,28367
37760,35129,28447
37760,35164,28474
37760,35176,28388
37760,35174,28387
37760,35152,28500
37760,35143,28441
37760,35161,28399
37760,35146,28302
37760,35088,28290
37760,35156,28299
37760,35164,28345
37760,35186,28536
37760,35134,28457
37760,35183,28399
37760,35188,28388
37760,35154,28280
37760,35048,28276
37760,35113,28332
37760,35194,28382
37760,35205,28240
37760,35165,28298
37760,35232,28336
37760,35189,28407
37760,35267,28504
37760,35178,28386
37760,35203,28284
37760,35198,28318
37760,35157,28383
37760,35160,28334
37760,35258,28416
37760,35105,28361
37760,35221,28428
37760,35230,28495
37760,35140,28513
37760,35136,28333
37760,35232,28463
37760,35203,28489
37760,35173,28255
37760,35248,28559
37760,35100,28556
37760,35155,28431
37760,35160,28366
37760,35103,28409
37760,35151,28411
37760,35166,28438
37760,35213,28459
37760,35149,28250
37760,35227,28320
37760,35247,28371
37760,35186,28246
37760,35117,28394
37760,35182,28381
37760,35188,28407
37760,35255,28323
37760,35234,28455
37760,35189,28447
37760,35158,28340
37760,35139,28437
37760,35171,28313
37760,35154,28510
37760,35096,28334
37760,35169,28288
37760,35149,28337
37760,35134,28338
37760,35116,28374
37760,35254,28425
37760,35161,28444
37760,35269,28367
37760,35213,28433
37760,35202,28439
37760,35252,28440
37760,35273,28438
37760,35148,28415
37760,35195,28311
