identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
3469,3293,2432
3469,3305,2486
3469,3278,2469
3469,3303,2501
3469,3281,2481
3469,3290,2485
3469,3293,2544
3469,3295,2493
3469,3296,2483
3469,3295,2480
3469,3288,2501
3469,3278,2470
3469,3292,2495
3469,3299,2444
3469,3288,2445
3469,3274,2492
3469,3287,2443
3469,3295,2510
3469,3282,2462
3469,3289,2501
3469,3278,2506
3469,3272,2470
3469,3278,2474
3469,3323,2479
3469,3301,2506
3469,3280,2473
3469,3307,2463
3469,3263,2459
3469,3294,2471
3469,3296,2479
3469,3312,2470
3469,3282,2492
3469,3310,2481
3469,3288,2465
3469,3288,2467
3469,3294,2518
3469,3270,2484
3469,3276,2477
3469,3298,2447
3469,3299,2459
3469,3301,2522
3469,3288,2461
3469,3277,2458
3469,3288,2467
3469,3288,2463
3469,3304,2525
3469,3277,2482
3469,3284,2463
3469,3306,2456
3469,3300,2466
3469,3274,2486
3469,3295,2475
3469,3284,2463
3469,3301,2472
3469,3283,2508
3469,3287,2519
3469,3264,2455
3469,3269,2477
3469,3294,2488
3469,3282,2496
3469,3296,2480
3469,3282,2491
3469,3299,2507
3469,3302,2513
3469,3289,2504
3469,3299,2468
3469,3261,2501
3469,3296,2490
3469,3298,2498
3469,3298,2494
3469,3301,2477
3469,3293,2490
3469,3287,2449
3469,3303,2460
3469,3272,2489
3469,3301,2451
3469,3304,2504
3469,3308,2455
3469,3292,2470
3469,3296,2505
3469,3307,2481
3469,3280,2512
3469,3303,2456
3469,3306,2488
3469,3288,2502
3469,3285,2479
3469,3289,2467
3469,3294,2468
3469,3302,2493
3469,3289,2446
3469,3290,2500
3469,3295,2479
3469,3306,2494
3469,3310,2489
3469,3282,2479
3469,3271,2450
3469,3300,2489
3469,3275,2525
3469,3279,2492
3469,3285,2506
3469,3292,2464
3469,3281,2525
3469,3296,2482
3469,3287,2440
3469,3278,2514
3469,3307,2513
3469,3300,2541
3469,3286,2468
3469,3305,2481
3469,3275,2498
3469,3300,2521
3469,3314,2431
3469,3282,2497
3469,3293,2512
3469,3293,2461
3469,3297,2512
3469,3293,2494
3469,3288,2481
3469,3285,2443
3469,3272,2499
3469,3294,2472
3469,3283,2432
3469,3302,2513
3469,3320,2496
3469,3297,2523
3469,3296,2473
3469,3268,2444
3469,3301,2496
3469,3293,2475
3469,3289,2469
3469,3293,2488
3469,3284,2494
3469,3300,2518
3469,3244,2497
3469,3286,2493
3469,3309,2494
3469,3286,2499
3469,3282,2490
3469,3270,2525
3469,3297,2467
3469,3283,2493
3469,3288,2478
3469,3297,2484
3469,3299,2503
3469,3268,2484
3469,3310,2462
3469,3314,2463
3469,3302,2493
3469,3277,2453
3469,3296,2481
3469,3303,2470
3469,3275,2472
3469,3306,2502
3469,3305,2486
3469,3310,2512
3469,3276,2512
3469,3308,2531
3469,3274,2464
3469,3292,2546
3469,3308,2499
3469,3294,2511
3469,3291,2508
3469,3292,2491
3469,3283,2494
3469,3310,2429
3469,3315,2526
3469,3294,2453
3469,3314,2449
3469,3287,2531
3469,3280,2462
3469,3293,2452
3469,3288,2465
3469,3282,2491
3469,3260,2444
3469,3280,2442
3469,3285,2451
3469,3275,2551
3469,3282,2517
3469,3277,2534
3469,3292,2486
3469,3301,2509
3469,3294,2470
3469,3290,2492
3469,3275,2500
3469,3295,2470
3469,3294,2497
3469,3299,2457
3469,3293,2473
3469,3294,2476
3469,3312,2522
3469,3293,2496
3469,3285,2476
3469,3290,2540
3469,3277,2478
3469,3312,2497
3469,3299,2488
3469,3288,2543
3469,3301,2487
3469,3301,2463
3469,3296,2492
3469,3282,2451
3469,3268,2450
3469,3281,2468
3469,3286,2456
3469,3285,2492
3469,3294,2466
3469,3264,2480
3469,3299,2457
3469,3309,2484
3469,3293,2456
3469,3311,2462
3469,3295,2513
3469,3302,2457
3469,3298,2490
3469,3296,2503
3469,3281,2479
3469,3308,2464
3469,3294,2484
3469,3305,2484
3469,3277,2496
3469,3294,2439
3469,3304,2505
3469,3290,2464
3469,3312,2512
3469,3255,2469
3469,3274,2495
3469,3287,2489
3469,3295,2458
3469,3292,2442
3469,3295,2507
3469,3299,2479
3469,3294,2440
3469,3300,2513
3469,3284,2539
3469,3303,2504
3469,3283,2431
3469,3306,2497
3469,3290,2450
3469,3277,2476
3469,3283,2483
3469,3306,2488
3469,3290,2480
3469,3279,2488
3469,3270,2503
3469,3298,2512
3469,3294,2504
3469,3269,2454
3469,3294,2524
3469,3301,2496
3469,3293,2488
3469,3276,2546
3469,3284,2473
3469,3295,2478
3469,3296,2506
3469,3296,2481
3469,3287,2481
3469,3298,2514
3469,3299,2461
3469,3311,2443
3469,3296,2459
3469,3285,2507
3469,3290,2519
3469,3282,2496
3469,3288,2455
3469,3279,2484
3469,3279,2461
3469,3286,2514
3469,3291,2481
3469,3277,2457
3469,3287,2448
3469,3291,2508
3469,3301,2507
3469,3284,2492
3469,3301,2504
3469,3280,2474
3469,3300,2504
3469,3294,2456
3469,3285,2535
3469,3276,2495
3469,3294,2446
3469,3293,2486
3469,3275,2497
3469,3279,2438
3469,3300,2495
3469,3287,2502
3469,3269,2452
3469,3292,2470
3469,3292,2479
3469,3303,2462
3469,3300,2534
3469,3285,2483
