sample_ID,species,allele_count,type
MHC_Sample1_lk_MA,Lk,4,MHCI
MHC_Sample2_lk_MA,Lk,7,MHCI
MHC_Sample3_lk_MA,Lk,4,MHCI
MHC_Sample4_lk_MA,Lk,7,MHCI
MHC_Sample5_lk_MA,Lk,7,MHCI
MHC_Sample6_lk_MA,Lk,4,MHCI
MHC_Sample8_lk_MA,Lk,6,MHCI
MHC_Sample9_lk_MA,Lk,6,MHCI
MHC_Sample10_lk_MA,Lk,6,MHCI
MHC_Sample12_lk_MA,Lk,3,MHCI
MHC_Sample13_lk_MA,Lk,4,MHCI
MHC_Sample15_lk_MA,Lk,5,MHCI
MHC_Sample16_lk_MA,Lk,6,MHCI
MHC_Sample17_lk_MA,Lk,6,MHCI
MHC_Sample18_lk_MA,Lk,4,MHCI
MHC_Sample19_lk_MA,Lk,7,MHCI
MHC_Sample22_lk_MA,Lk,5,MHCI
MHC_Sample23_lk_MA,Lk,5,MHCI
MHC_Sample24_lk_MA,Lk,6,MHCI
MHC_Sample25_lk_MA,Lk,5,MHCI
MHC_Sample26_lk_MA,Lk,6,MHCI
MHC_Sample29_lk_MA,Lk,4,MHCI
MHC_Sample30_lk_MA,Lk,6,MHCI
MHC_Sample31_lk_MA,Lk,5,MHCI
MHC_Sample32_lk_MA,Lk,5,MHCI
MHC_Sample33_lk_MA,Lk,5,MHCI
MHC_Sample36_lk_MA,Lk,3,MHCI
MHC_Sample37_lk_MA,Lk,4,MHCI
MHC_Sample38_lk_MA,Lk,6,MHCI
MHC_Sample39_lk_MA,Lk,6,MHCI
MHC_Sample40_lk_MA,Lk,5,MHCI
MHC_Sample42_lk_MA,Lk,5,MHCI
MHC_Sample43_lk_MA,Lk,5,MHCI
MHC_Sample44_lk_MA,Lk,5,MHCI
MHC_Sample45_lk_MA,Lk,5,MHCI
MHC_Sample46_lk_MA,Lk,6,MHCI
MHC_Sample48_lk_MA,Lk,4,MHCI
MHC_Sample49_lk_MA,Lk,5,MHCI
MHC_Sample50_lk_MA,Lk,4,MHCI
MHC_Sample51_lk_MA,Lk,6,MHCI
MHC_Sample52_lk_MA,Lk,3,MHCI
MHC_Sample55_lk_MA,Lk,5,MHCI
MHC_Sample56_lk_MA,Lk,6,MHCI
MHC_Sample57_lk_MA,Lk,6,MHCI
MHC_Sample59_lk_MA,Lk,4,MHCI
MHC_Sample62_lk_MA,Lk,4,MHCI
MHC_Sample63_lk_MA,Lk,4,MHCI
MHC_Sample64_lk_MA,Lk,4,MHCI
MHC_Sample68_lk_MA,Lk,5,MHCI
MHC_Sample69_lk_MA,Lk,5,MHCI
MHC_Sample70_lk_MA,Lk,6,MHCI
MHC_Sample71_lk_MA,Lk,6,MHCI
MHC_Sample72_lk_MA,Lk,4,MHCI
MHC_Sample75_lk_MA,Lk,6,MHCI
MHC_Sample77_lk_MA,Lk,6,MHCI
MHC_Sample78_lk_MA,Lk,5,MHCI
MHC_Sample79_lk_MA,Lk,4,MHCI
MHC_Sample81_lk_MA,Lk,6,MHCI
MHC_Sample82_lk_MA,Lk,5,MHCI
MHC_Sample83_lk_MA,Lk,3,MHCI
MHC_Sample84_lk_MA,Lk,7,MHCI
MHC_Sample85_lk_MA,Lk,5,MHCI
MHC_Sample86_lk_MA,Lk,3,MHCI
MHC_Sample88_lk_MA,Lk,6,MHCI
MHC_Sample89_lk_MA,Lk,4,MHCI
MHC_Sample90_lk_MA,Lk,7,MHCI
MHC_Sample91_lk_MA,Lk,6,MHCI
MHC_Sample92_lk_MA,Lk,6,MHCI
MHC_Sample94_lk_MA,Lk,4,MHCI
MHC_Sample95_lk_MA,Lk,4,MHCI
MHC_Sample96_lk_MA,Lk,4,MHCI
MHC_Sample97_lk_MA,Lk,5,MHCI
MHC_Sample98_lk_MA,Lk,4,MHCI
MHC_Sample100_lk_MA,Lk,4,MHCI
MHC_Sample101_lk_MA,Lk,5,MHCI
MHC_Sample102_lk_MA,Lk,4,MHCI
MHC_Sample103_lk_MA,Lk,4,MHCI
MHC_Sample104_lk_MA,Lk,4,MHCI
MHC_Sample106_lk_MA,Lk,6,MHCI
MHC_Sample107_lk_MA,Lk,5,MHCI
MHC_Sample108_lk_MA,Lk,5,MHCI
MHC_Sample109_lk_MA,Lk,4,MHCI
MHC_Sample111_lk_MA,Lk,6,MHCI
MHC_Sample112_lk_MA,Lk,6,MHCI
MHC_Sample113_lk_MA,Lk,4,MHCI
MHC_Sample114_lk_MA,Lk,5,MHCI
MHC_Sample115_lk_MA,Lk,5,MHCI
MHC_Sample116_lk_MA,Lk,3,MHCI
MHC_Sample118_lk_MA,Lk,6,MHCI
MHC_Sample119_lk_MA,Lk,6,MHCI
