allele,Caca001_MHCIIB,Deco001_MHCIIB,Chmy001_MHCIIB,Leke001_MHCIIB,Caca002_MHCIIB,Chmy002_MHCIIB,Chmy003_MHCIIB,Chmy004_MHCIIB,Chmy005_MHCIIB,Chmy006_MHCIIB,Chmy007_MHCIIB,Chmy008_MHCIIB,Chmy009_MHCII,Chmy010_MHCIIB
Caretta caretta,85,0,0,1,40,0,0,0,0,0,0,0,0,0
Chelonia mydas,2,0,124,2,1,12,20,11,8,10,10,2,2,8
Dermochelys coriacea,1,59,0,0,0,0,0,0,0,0,0,0,0,0
Lepidochelys kempii,1,0,3,33,1,0,0,0,0,0,0,0,0,0
