species_pair,identical_amino_acids,identical_codons,locus
Lk_Cc,9271,8554,MHCII
Cm_Lk,40527,37155,MHCII
Cc_Cm,89365,85345,MHCII
Dc_Lk,3469,3081,MHCII
Dc_Cc,8980,7940,MHCII
Dc_Cm,37760,34253,MHCII
